event_id,id,name,match_id,season,competition,team,player,outcome_id,outcome_name
c772a4c1-5b29-4dd7-bfb4-2ad04f323f3a,4,Duel,3749233,2003/2004,Premier League,Manchester City,Shaun Wright-Phillips,16,Success In Play
25910f9b-afad-4d6b-a7a8-943dbf57a6ea,4,Duel,3773571,2020/2021,La Liga,Barcelona,Martin Braithwaite Christensen,,
689adb23-351d-460b-96e2-e1a03de1662b,4,Duel,303725,2019/2020,La Liga,Barcelona,Gerard Piqué Bernabéu,4,Won
b5a03b52-3673-43db-9252-20b0f1e15ae2,4,Duel,3749278,2003/2004,Premier League,Arsenal,Gaël Clichy,,
8e9cb196-0ce2-404f-8d55-f2489e82ea43,4,Duel,3749117,2003/2004,Premier League,Arsenal,Sulzeer Jeremiah ''Sol' Campbell,,
c56326f0-81e9-4334-9fca-37b0bc404565,4,Duel,303652,2019/2020,La Liga,Barcelona,Jordi Alba Ramos,,
1535fe4b-0423-40da-ba6d-552d00323a3f,4,Duel,3749310,2003/2004,Premier League,Southampton,Darren Kenton,,
f99b2c00-a751-4a28-9b31-59b5e3524442,4,Duel,3749603,2003/2004,Premier League,Fulham,Luís Boa Morte Pereira,,
f6b8dedf-60bd-42b6-888f-9f1c8d6a5c01,4,Duel,303470,2019/2020,La Liga,Real Madrid,Toni Kroos,4,Won
3fb9214f-a456-437e-88b8-166290adfaba,4,Duel,3749278,2003/2004,Premier League,Arsenal,Robert Pirès,4,Won
a323ef8b-7039-4207-a862-988017ea14d5,4,Duel,16231,2018/2019,La Liga,Barcelona,Jordi Alba Ramos,,
50eeab1f-bddb-4ab2-a142-646e2871ed12,4,Duel,3773587,2020/2021,La Liga,Barcelona,Clément Lenglet,17,Success Out
f7a653cc-7555-4b19-9863-dfd2f637ef78,4,Duel,3773497,2020/2021,La Liga,Barcelona,Óscar Mingueza García,16,Success In Play
53ab6e98-256c-4246-a326-c632744e531b,4,Duel,3749196,2003/2004,Premier League,Tottenham Hotspur,Ledley King,4,Won
54aa1c53-e272-4cd2-baee-c08ad4499139,4,Duel,303610,2019/2020,La Liga,Barcelona,Sergio Busquets i Burgos,,
fd62e998-da16-4235-95e2-8196556dd0f4,4,Duel,3749465,2003/2004,Premier League,Blackburn Rovers,Matt Jansen,4,Won
af50b155-e3b5-4a71-bf5f-795b964416f5,4,Duel,3749522,2003/2004,Premier League,Arsenal,Gaël Clichy,14,Lost Out
68a102d2-0e0a-4d88-9a28-fe09bdcf51d5,4,Duel,16173,2018/2019,La Liga,Barcelona,Luis Alberto Suárez Díaz,17,Success Out
cfc014d5-bcf5-43e8-9795-cf41c03092e8,4,Duel,303532,2019/2020,La Liga,Leganés,Guido Marcelo Carrillo,,
50ae94ec-baac-46ba-8f34-e468c56f5bee,4,Duel,3773695,2020/2021,La Liga,Valencia,Gonçalo Manuel Ganchinho Guedes,,
707ee8e3-75dc-4c48-a5c8-fee36279ce3d,4,Duel,3764661,2020/2021,La Liga,Barcelona,Sergio Busquets i Burgos,13,Lost In Play
8bee20b1-0ef4-47b7-9e91-322cbee7af4b,4,Duel,3749153,2003/2004,Premier League,Arsenal,Patrick Vieira,16,Success In Play
b25209d0-d7ad-4acb-958d-f1765d112d4a,4,Duel,3749522,2003/2004,Premier League,Arsenal,Patrick Vieira,4,Won
828b2c68-18ce-45ff-87ac-0399ad5e5449,4,Duel,3773474,2020/2021,La Liga,Real Valladolid,Rubén Alcaraz Jiménez,4,Won
40f3b507-ab25-4556-9b92-2d44def7e309,4,Duel,3749278,2003/2004,Premier League,Arsenal,Gaël Clichy,16,Success In Play
5226cd1d-a423-484e-8814-115cafc34e81,4,Duel,3749117,2003/2004,Premier League,Arsenal,Laureano Bisan-Etame Mayer,,
bf4e3b2b-bbb5-4739-b95f-55549cf81ce4,4,Duel,3773660,2020/2021,La Liga,Barcelona,Philippe Coutinho Correia,,
ae575846-79af-41d1-9d2c-5aaba2a93b56,4,Duel,3749310,2003/2004,Premier League,Southampton,Fitz Hall,14,Lost Out
63d26527-4b7d-4e02-9c2a-4e40ce98220a,4,Duel,16231,2018/2019,La Liga,Espanyol,Sergio García De La Fuente,,
f4fd1fa5-10bd-4167-a173-d469241f09ac,4,Duel,3773523,2020/2021,La Liga,Real Sociedad,Ander Guevara Lajo,16,Success In Play
b6b99bd5-ce29-4a70-9992-8fec7d183a25,4,Duel,3773587,2020/2021,La Liga,Getafe,Enes Ünal,,
7b05ddf7-6583-45a2-ac04-54dea3e3cb94,4,Duel,3749117,2003/2004,Premier League,Everton,Duncan Ferguson,,
141600d5-1860-4728-82b9-36cbc3d2bb18,4,Duel,3749278,2003/2004,Premier League,Bolton Wanderers,"Augustine Azuka ""Jay-Jay"" Okocha",13,Lost In Play
df217c2a-f744-4b07-945f-0a955a5a3064,4,Duel,16231,2018/2019,La Liga,Barcelona,Philippe Coutinho Correia,,
f8ab9113-9413-4c1e-ace8-cda581f3d17e,4,Duel,3749117,2003/2004,Premier League,Arsenal,Patrick Vieira,,
22d44b64-439f-4f56-a055-cb9609e0eac4,4,Duel,16056,2018/2019,La Liga,Barcelona,Jordi Alba Ramos,4,Won
e048e753-338a-447a-bd05-b10a7068dd9d,4,Duel,303430,2019/2020,La Liga,Villarreal,Gerard Moreno Balaguero,,
592c09fb-2427-4092-8c9a-f867d7b420a0,4,Duel,16173,2018/2019,La Liga,Athletic Club,Yeray Álvarez López,16,Success In Play
92d023e2-f197-45ca-8145-78fcb4c5c747,4,Duel,16079,2018/2019,La Liga,Barcelona,Sergio Busquets i Burgos,,
591e9ea6-0af3-4f26-b07c-44faafccf13b,4,Duel,3749153,2003/2004,Premier League,Arsenal,Gilberto Aparecido da Silva,,
10000cd4-6afa-4c7e-851e-23dd01efe275,4,Duel,303524,2019/2020,La Liga,Barcelona,Arthur Henrique Ramos de Oliveira Melo,16,Success In Play
7b722753-2aa2-4619-a435-2479ac4ad526,4,Duel,303430,2019/2020,La Liga,Barcelona,Antoine Griezmann,4,Won
f3a298f8-ed86-4c68-a5bf-50cb580a2bef,4,Duel,3773377,2020/2021,La Liga,Valencia,Denis Cheryshev,14,Lost Out
1b906426-f61b-49d7-88be-f17e4448e02c,4,Duel,3773497,2020/2021,La Liga,Real Madrid,Éder Gabriel Militão,,
1bfb2fda-76cd-44eb-85fc-a4e2569c9ad0,4,Duel,3749465,2003/2004,Premier League,Blackburn Rovers,Jonathan Douglas,,
2ee018d3-8696-4a40-8cf5-d7cb449585d1,4,Duel,303634,2019/2020,La Liga,Osasuna,Enric Gallego Puigsech,,
a17d6b70-94b5-44a8-ae10-906fcce512b3,4,Duel,16056,2018/2019,La Liga,Barcelona,Malcom Filipe Silva de Oliveira,,
e639f518-dee0-44c1-aa8b-f415a8bbaeb4,4,Duel,3749233,2003/2004,Premier League,Manchester City,Sylvain Distin,14,Lost Out
42079171-3237-429f-995a-44101cb1d88a,4,Duel,3773631,2020/2021,La Liga,Real Betis,Emerson Aparecido Leite de Souza Junior,16,Success In Play
8f2aa6f5-7ffd-427c-9de1-1a9293569148,4,Duel,3749153,2003/2004,Premier League,Middlesbrough,Danny Mills,16,Success In Play
1d68784c-125b-41c9-805d-2e0a34560b8c,4,Duel,303696,2019/2020,La Liga,Atlético Madrid,Saúl Ñíguez Esclapez,16,Success In Play
85ca1f5e-9ff3-49de-b7c1-6712cedc3b0a,4,Duel,303516,2019/2020,La Liga,Barcelona,Ivan Rakitić,16,Success In Play
693d3ca4-db9e-44b6-a053-c50aaff67879,4,Duel,15978,2018/2019,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,16,Success In Play
9ad010a0-f8bf-45b3-b232-93fc913505ff,4,Duel,15978,2018/2019,La Liga,Barcelona,Ousmane Dembélé,13,Lost In Play
112c51e4-acb0-4613-8fa8-7b7b1a5aa0f8,4,Duel,16109,2018/2019,La Liga,Barcelona,Nélson Cabral Semedo,,
