event_id,id,name,match_id,season,competition,team,formation
35787a85-2fad-4cdc-a899-01e68cac3437,36,Tactical Shift,303548,2019/2020,La Liga,Mallorca,442
20422035-9158-4f34-9740-ec288832f7da,35,Starting XI,3773547,2020/2021,La Liga,Barcelona,433
2a451c81-4437-47fb-887d-a649aa102ea4,35,Starting XI,3773415,2020/2021,La Liga,Cádiz,4141
bb88d401-dac5-480a-834a-7ea5fdd3482b,36,Tactical Shift,16196,2018/2019,La Liga,Real Madrid,4231
bb1b165c-5526-4db6-b849-c51e11647f8d,35,Starting XI,303707,2019/2020,La Liga,Barcelona,41212
1fa813aa-1359-4df6-96f7-069fa7242a26,36,Tactical Shift,303600,2019/2020,La Liga,Real Valladolid,41212
11098fbd-4121-4503-9ae3-d432d6f647e4,35,Starting XI,15973,2018/2019,La Liga,Barcelona,433
6486a904-af28-48e4-ad2a-f73cc7237dff,36,Tactical Shift,3749434,2003/2004,Premier League,Arsenal,442
9ba44aef-4004-4cee-8ef0-bece69b7cfa1,36,Tactical Shift,3749196,2003/2004,Premier League,Arsenal,41212
4c8f4307-2f43-4136-b8ae-9f5e4f9c99b8,36,Tactical Shift,3773565,2020/2021,La Liga,Barcelona,433
6671fa2c-bebe-4849-8131-8c53b18d9108,35,Starting XI,303377,2019/2020,La Liga,Barcelona,433
d2829bfb-24c5-49d7-b29a-9a0bd696637e,36,Tactical Shift,303666,2019/2020,La Liga,Barcelona,4231
3ffa05fd-8046-46cb-97c9-5add5a15ac74,36,Tactical Shift,15946,2018/2019,La Liga,Barcelona,433
f7c60ec5-48aa-40f5-b8e8-8e1ffe24b76a,35,Starting XI,3773428,2020/2021,La Liga,Cádiz,4141
99911264-a81a-4eb0-9d26-b011a42510d1,36,Tactical Shift,3773672,2020/2021,La Liga,Sevilla,433
d5c25be3-487e-40a0-887d-f5d274d2d57b,35,Starting XI,3764440,2020/2021,La Liga,Elche,343
6354f52c-207c-43f4-a154-a56acb352185,35,Starting XI,3749465,2003/2004,Premier League,Blackburn Rovers,442
f2c941ff-922b-4296-a1b9-a494f394229b,35,Starting XI,16073,2018/2019,La Liga,Barcelona,442
3637e881-5297-496e-b1f4-9b5917d5c66f,35,Starting XI,3773631,2020/2021,La Liga,Barcelona,433
b7bf7c05-7894-4003-9dab-a3bca8570498,36,Tactical Shift,3749462,2003/2004,Premier League,Birmingham City,451
eac8502f-c98b-4b1e-a205-cddd0720931c,36,Tactical Shift,16073,2018/2019,La Liga,Barcelona,442
a621d181-794b-47db-9a06-7e1726292d1b,35,Starting XI,16173,2018/2019,La Liga,Athletic Club,4231
88c95937-1452-4001-b934-7b37c0054ee3,36,Tactical Shift,3749434,2003/2004,Premier League,Birmingham City,442
3a52e732-078b-44af-98af-9ce42a6c5def,35,Starting XI,3773661,2020/2021,La Liga,Barcelona,352
d7c3fe52-ca16-4c37-9aad-41e8811088c6,36,Tactical Shift,303725,2019/2020,La Liga,Barcelona,433
882f89fa-fc7c-4ee0-9f39-f345e052fb00,36,Tactical Shift,303664,2019/2020,La Liga,Barcelona,433
169aa423-72a2-431c-8dc9-132edbfa893a,35,Starting XI,3773665,2020/2021,La Liga,Barcelona,352
4b9ac8f4-c13e-49ad-b38a-721495d9e633,35,Starting XI,303493,2019/2020,La Liga,Athletic Club,4231
7ea2e17a-59b7-492e-b9f8-a41c65d90089,36,Tactical Shift,3773695,2020/2021,La Liga,Valencia,442
4cd029d7-a318-41e7-b54b-0dce6ea9b5af,35,Starting XI,16095,2018/2019,La Liga,Levante UD,3412
cd3c4700-87ac-49ce-aa20-f3565ec2840c,36,Tactical Shift,16095,2018/2019,La Liga,Barcelona,3511
f711a47e-fe72-4dfd-9ee7-1f2224043461,36,Tactical Shift,303700,2019/2020,La Liga,Barcelona,433
7c36a11d-af95-4873-a36c-03ccd0acae4b,36,Tactical Shift,16190,2018/2019,La Liga,Barcelona,4231
a74a9d07-18d0-4118-9bc8-26b220efd927,35,Starting XI,3749453,2003/2004,Premier League,Leeds United,442
d56b4a50-54c4-42e3-9136-059ed2f67967,36,Tactical Shift,303682,2019/2020,La Liga,Levante UD,442
6342e663-c61e-4cae-b036-d24e5768cfbd,35,Starting XI,3749358,2003/2004,Premier League,Middlesbrough,442
779da12c-1e5a-43dd-8b92-eba8ade8e2e6,35,Starting XI,16120,2018/2019,La Liga,Getafe,442
50114a87-db28-4cfa-a93d-b0e7a2acc77b,36,Tactical Shift,3773565,2020/2021,La Liga,Granada,4231
b4d4b45a-9c5f-4b07-a886-4fb7d3c2f84b,35,Starting XI,3773372,2020/2021,La Liga,Barcelona,352
eaacb458-bdab-4f88-ad35-789a55db2e43,35,Starting XI,303680,2019/2020,La Liga,Barcelona,41212
b26e15e1-ffdd-482f-9dce-3ccb87fc8d89,35,Starting XI,303680,2019/2020,La Liga,Real Valladolid,41212
ef2c4361-fc15-4d99-9622-b12e3fe0b951,35,Starting XI,303600,2019/2020,La Liga,Real Valladolid,3412
c2c09003-c0b4-45e8-80bf-1be9c57ba7a9,35,Starting XI,3749253,2003/2004,Premier League,Arsenal,442
7f287319-1b3f-4857-a2a1-8e08fae7067b,35,Starting XI,303504,2019/2020,La Liga,Barcelona,433
fa230b58-297b-499f-8ab8-3bd675665c3b,35,Starting XI,3773369,2020/2021,La Liga,Huesca,352
bb1e1354-5242-4f5a-b080-f5cc410cb4b4,35,Starting XI,303600,2019/2020,La Liga,Barcelona,433
