event_id,id,name,match_id,season,competition,team,player,outcome_id,outcome_name
bab12bfe-aef7-459d-8e17-0cd5540d6ba4,10,Interception,3773661,2020/2021,La Liga,Getafe,Sofian Chakla,4,Won
4b67f069-3763-44ed-9c71-d3beb190c0c6,10,Interception,16023,2018/2019,La Liga,Valencia,Carlos Soler Barragán,4,Won
50c46813-3cd7-4c4a-be77-8f5b1349d676,10,Interception,16023,2018/2019,La Liga,Valencia,Geoffrey Kondogbia,13,Lost In Play
16d1d2f1-b45f-4d58-bc66-bba498827f7c,10,Interception,3749246,2003/2004,Premier League,Arsenal,Gaël Clichy,13,Lost In Play
29629166-8463-4abb-b496-884f176cdae4,10,Interception,3773377,2020/2021,La Liga,Valencia,José Luis Gayà Peña,4,Won
1e26dc17-4fe5-409a-a853-c4fd30353365,10,Interception,3773689,2020/2021,La Liga,Barcelona,Jordi Alba Ramos,14,Lost Out
082f776c-c09c-40aa-b6f2-fbfa90243916,10,Interception,3773474,2020/2021,La Liga,Real Valladolid,Pablo Hervías Ruiz,14,Lost Out
ee47a864-d79c-4375-b12c-5803c1e4ef51,10,Interception,3773415,2020/2021,La Liga,Cádiz,Alberto Perea Correoso,16,Success In Play
334cc196-82dc-475b-8f61-89d44c6a2000,10,Interception,3773387,2020/2021,La Liga,Levante UD,Gonzalo Julián Melero Manzanares,16,Success In Play
777dad6b-15b4-49e7-8d9d-2860bb985bb1,10,Interception,3749360,2003/2004,Premier League,Blackburn Rovers,Lucas Neill,16,Success In Play
ecdb0dce-2f72-46a1-95e9-087bf5acdb8b,10,Interception,303516,2019/2020,La Liga,Celta Vigo,Néstor Alejandro Araújo Razo,14,Lost Out
4e5bddc5-373b-4992-9c93-3805d395e970,10,Interception,303634,2019/2020,La Liga,Osasuna,Adrián López Álvarez,4,Won
a4b3001f-5a0c-4fee-b1c8-24943b9d5273,10,Interception,303548,2019/2020,La Liga,Mallorca,Salvador Sevilla López,4,Won
8b4c6699-c4e4-4463-8477-fb7f9be3938e,10,Interception,16079,2018/2019,La Liga,Barcelona,Ivan Rakitić,16,Success In Play
7181062e-98e5-44f0-8b87-6882b7eb9f74,10,Interception,3773466,2020/2021,La Liga,Celta Vigo,Joseph Aidoo,4,Won
3c0c109d-c890-4e27-9114-7f9147e4a579,10,Interception,3749526,2003/2004,Premier League,Charlton Athletic,Claus Jensen,13,Lost In Play
0bd2c502-a951-4b1d-947c-d649a3ba5164,10,Interception,3773660,2020/2021,La Liga,Levante UD,Jorge Miramón Santagertrudis,4,Won
e13570de-2114-4a08-bd1f-0055e94e38fc,10,Interception,3773593,2020/2021,La Liga,Barcelona,Sergio Busquets i Burgos,4,Won
38f79f94-1587-484c-a7cf-124dd80a2e5a,10,Interception,3749108,2003/2004,Premier League,Aston Villa,Mark Kinsella,4,Won
450cf527-9cb4-4abc-8041-39b980a1fe49,10,Interception,303473,2019/2020,La Liga,Sevilla,Manuel Agudo Durán,4,Won
2ef8de1f-2523-487a-a5b9-9113fac2acdb,10,Interception,303615,2019/2020,La Liga,Espanyol,Fernando Calero Villa,16,Success In Play
ed0f1bfc-ab86-4099-8e91-4c030496d108,10,Interception,16196,2018/2019,La Liga,Barcelona,Sergi Roberto Carnicer,14,Lost Out
934cd6ec-173a-4ec2-87e2-d13aa18d8946,10,Interception,16029,2018/2019,La Liga,Barcelona,Jordi Alba Ramos,16,Success In Play
67ac3bbd-0827-4a80-9c50-e3502fceefaf,10,Interception,303473,2019/2020,La Liga,Barcelona,Frenkie de Jong,13,Lost In Play
778b69e3-31d1-45ce-aa76-c74994d7cee0,10,Interception,3749276,2003/2004,Premier League,Arsenal,Thierry Henry,13,Lost In Play
cc5f36ef-47d8-460e-98a9-98ed8f788e0e,10,Interception,16109,2018/2019,La Liga,Barcelona,Nélson Cabral Semedo,14,Lost Out
d02cbc69-1ca3-4617-b93d-29020ab68e07,10,Interception,3773661,2020/2021,La Liga,Barcelona,Frenkie de Jong,13,Lost In Play
e84ccaaa-38dd-4a66-8aa2-552f784e3531,10,Interception,16023,2018/2019,La Liga,Valencia,Geoffrey Kondogbia,16,Success In Play
0434b40e-db84-4595-a915-9f9ecdf5fff4,10,Interception,16023,2018/2019,La Liga,Valencia,Gabriel Armando de Abreu,16,Success In Play
e9764df1-8227-498c-92a5-cbacb2ff24de,10,Interception,3773661,2020/2021,La Liga,Getafe,Damián Nicolás Suárez Suárez,14,Lost Out
1a4a743d-9de1-4319-b992-7ee27bc4e1ff,10,Interception,16079,2018/2019,La Liga,Villarreal,Carlos Arturo Bacca Ahumada,14,Lost Out
4daef8cf-4f24-4afd-9ced-8afc7077ed68,10,Interception,3773660,2020/2021,La Liga,Barcelona,Jordi Alba Ramos,13,Lost In Play
4746a1e9-8c09-4c41-88dd-72d24b45143b,10,Interception,16205,2018/2019,La Liga,Rayo Vallecano,Tiago Manuel Dias Correia,16,Success In Play
238e52b8-db45-47f6-94ee-c77f3f23a3ef,10,Interception,16306,2018/2019,La Liga,Getafe,Damián Nicolás Suárez Suárez,14,Lost Out
2cee375a-8e2a-4ae8-a663-9989a79d5b08,10,Interception,3773552,2020/2021,La Liga,Huesca,Sergio Gómez Martín,16,Success In Play
ca4d707a-433a-495e-b4fe-2fc04f72d5a3,10,Interception,303680,2019/2020,La Liga,Barcelona,Arturo Erasmo Vidal Pardo,13,Lost In Play
c53bdeb2-a16b-4b04-9258-e8aa04504797,10,Interception,3773428,2020/2021,La Liga,Cádiz,Luis Alfonso Espino García,13,Lost In Play
382359af-ad33-47d2-900e-d71fd9de298e,10,Interception,16023,2018/2019,La Liga,Valencia,Cristiano Piccini,4,Won
60151544-0e01-4909-81c5-68937ba7b241,10,Interception,16131,2018/2019,La Liga,Barcelona,Sergi Roberto Carnicer,4,Won
a36d7f36-8e50-4bb8-99f5-b7de1f42edb5,10,Interception,16136,2018/2019,La Liga,Leganés,Dimitrios Siovas,4,Won
c365d9ec-213c-4a86-a0f8-f9cca827fe96,10,Interception,303430,2019/2020,La Liga,Villarreal,Carlos Arturo Bacca Ahumada,4,Won
3720f264-e54d-4f82-b6b2-ad9db3e831bb,10,Interception,3749257,2003/2004,Premier League,Leicester City,Marcus Bent,4,Won
73330e3c-93af-41d7-91d1-fd4f24ffb6dd,10,Interception,16109,2018/2019,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,4,Won
86cd8b0f-2993-487e-97a0-aa4adb2ef1b7,10,Interception,16010,2018/2019,La Liga,Athletic Club,Yeray Álvarez López,4,Won
6747edd9-81e7-4a03-abd9-b3d24a8877db,10,Interception,15986,2018/2019,La Liga,Girona,Borja García Freire,16,Success In Play
3c733a8a-8eba-4090-974b-629ba1d2e605,10,Interception,3773523,2020/2021,La Liga,Real Sociedad,Robin Aime Robert Le Normand,13,Lost In Play
a5d91dc4-5aa4-4fd1-af0d-c00d3c858d52,10,Interception,15946,2018/2019,La Liga,Deportivo Alavés,Martín Aguirregabiria Padilla,14,Lost Out
f5f01391-7391-4769-985c-f35a7e74caba,10,Interception,16157,2018/2019,La Liga,Barcelona,Ivan Rakitić,4,Won
82308084-74ea-4ccb-a07c-a094c1f222ab,10,Interception,3749274,2003/2004,Premier League,Portsmouth,Nigel Quashie,13,Lost In Play
256ce0b6-6bcf-49d2-a0ef-2319b9bfdd6b,10,Interception,3749360,2003/2004,Premier League,Blackburn Rovers,Vratislav Greško,16,Success In Play
1dbc03ec-3e26-4f18-a807-0178a76f77ba,10,Interception,3749358,2003/2004,Premier League,Middlesbrough,Gareth Southgate,4,Won
