event_id,id,name,match_id,season,competition,team,player,card_id,card_name
6ab19276-0a3c-44c0-976a-246eda0963d9,24,Bad Behaviour,3773466,2020/2021,La Liga,Barcelona,Gerard Piqué Bernabéu,7,Yellow Card
aa810b74-0d05-4e2a-b781-ce0e17a1521a,24,Bad Behaviour,3749233,2003/2004,Premier League,Manchester City,Trevor Sinclair,7,Yellow Card
072ec3a0-0268-4da3-bb3c-41fbad81c0ee,24,Bad Behaviour,303473,2019/2020,La Liga,Barcelona,Ousmane Dembélé,5,Red Card
004c94c3-d3c1-4ddc-a755-0e61db766120,24,Bad Behaviour,3773586,2020/2021,La Liga,Granada,Germán Sánchez Barahona,7,Yellow Card
ead1dd6d-6851-461f-bf47-99bd38fd32ae,24,Bad Behaviour,303473,2019/2020,La Liga,Barcelona,Sergio Busquets i Burgos,7,Yellow Card
cb34fd9f-9c10-49c7-b26a-51b3054ab1cb,24,Bad Behaviour,303731,2019/2020,La Liga,Eibar,Gonzalo Escalante,7,Yellow Card
b0b901a9-722f-4019-a34f-f5b2fb11c899,24,Bad Behaviour,303634,2019/2020,La Liga,Barcelona,Gerard Piqué Bernabéu,7,Yellow Card
39197f47-cda5-499f-ac4c-571317c16535,24,Bad Behaviour,303696,2019/2020,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,7,Yellow Card
9b5c24f9-74d1-431c-a9f6-943ab408dff5,24,Bad Behaviour,3773497,2020/2021,La Liga,Barcelona,Gerard Piqué Bernabéu,7,Yellow Card
e4996cef-926c-4988-b9f0-312e8282a43c,24,Bad Behaviour,16010,2018/2019,La Liga,Barcelona,Sergio Busquets i Burgos,7,Yellow Card
c8ec9a97-0ff9-4d71-a645-5c7fb21128e5,24,Bad Behaviour,16131,2018/2019,La Liga,Barcelona,Luis Alberto Suárez Díaz,7,Yellow Card
92cd37e5-ab6c-4db7-9018-9bb8e539b450,24,Bad Behaviour,3749631,2003/2004,Premier League,Southampton,Michael Lennart Svensson,7,Yellow Card
dc3a1acb-62df-4a7b-8562-812729bf91d1,24,Bad Behaviour,3773466,2020/2021,La Liga,Barcelona,Jordi Alba Ramos,7,Yellow Card
36ef61c5-914e-49c0-b01e-f59e990fd4f2,24,Bad Behaviour,3749631,2003/2004,Premier League,Southampton,Antti Mikko Niemi,7,Yellow Card
6c1a83b9-a49b-4183-b7e4-f86c596642da,24,Bad Behaviour,16205,2018/2019,La Liga,Rayo Vallecano,Gilbert Gianelli Imbula Wanga,7,Yellow Card
23a2ba00-d4c7-4989-b64a-64f53a881893,24,Bad Behaviour,3773403,2020/2021,La Liga,Athletic Club,Yeray Álvarez López,7,Yellow Card
2b81f628-f4f9-410c-b5a8-c59118821902,24,Bad Behaviour,15946,2018/2019,La Liga,Deportivo Alavés,Guillermo Alfonso Maripán Loaysa,7,Yellow Card
b94034d6-5970-47f0-a475-00d81f90dbf2,24,Bad Behaviour,303707,2019/2020,La Liga,Real Betis,Nabil Fekir,6,Second Yellow
d726cd9b-e3d8-493a-8764-d359dc8300b7,24,Bad Behaviour,303700,2019/2020,La Liga,Eibar,Charles Días Barbosa de Oliveira,7,Yellow Card
a9231934-5dd3-453c-afc9-825b7d60b779,24,Bad Behaviour,3773547,2020/2021,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,7,Yellow Card
0085a955-c073-4b5a-b6ce-a0ae001b098b,24,Bad Behaviour,16275,2018/2019,La Liga,Deportivo Alavés,Jonathan Rodríguez Menéndez,7,Yellow Card
275ab045-2b63-4d8b-a722-bf1b84a1574c,24,Bad Behaviour,16010,2018/2019,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,7,Yellow Card
f99502d4-68db-4a18-a3e2-4d3be355c5ab,24,Bad Behaviour,15978,2018/2019,La Liga,Barcelona,Samuel Yves Umtiti,7,Yellow Card
2f95cdae-bbea-41f3-8268-ff02f2aa9f99,24,Bad Behaviour,3749346,2003/2004,Premier League,Leeds United,David Batty,7,Yellow Card
347d8c76-922f-49ce-93bc-f3b87ab8c282,24,Bad Behaviour,303634,2019/2020,La Liga,Barcelona,Héctor Junior Firpo Adames,7,Yellow Card
ddcd7031-fb34-4a50-8e51-46e75b526039,24,Bad Behaviour,303707,2019/2020,La Liga,Barcelona,Sergio Busquets i Burgos,7,Yellow Card
3958c5f1-46b0-4868-922e-949b880c60de,24,Bad Behaviour,303517,2019/2020,La Liga,Deportivo Alavés,Mubarak Wakaso,7,Yellow Card
5496c430-139d-442d-a085-ecea546abb99,24,Bad Behaviour,16095,2018/2019,La Liga,Barcelona,Jordi Alba Ramos,7,Yellow Card
f1007a5c-60c8-40d8-b9e9-1ef4d7b41521,24,Bad Behaviour,3773587,2020/2021,La Liga,Getafe,Mathías Olivera Miramontes,7,Yellow Card
1634f921-9c50-4b5e-b84d-39db45add33d,24,Bad Behaviour,303517,2019/2020,La Liga,Barcelona,Samuel Yves Umtiti,7,Yellow Card
d6daaed7-116a-4fec-8f1c-d96b95ff12f5,24,Bad Behaviour,16317,2018/2019,La Liga,Barcelona,Jordi Alba Ramos,7,Yellow Card
cc8bbec2-c403-4d8b-acfa-50799b1bf117,24,Bad Behaviour,16023,2018/2019,La Liga,Barcelona,Luis Alberto Suárez Díaz,7,Yellow Card
0591dc98-5a98-46a8-bda4-72d2b8ed694e,24,Bad Behaviour,16317,2018/2019,La Liga,Eibar,Iván Ramis Barrios,7,Yellow Card
6bc06cc8-17a2-4452-9526-ec61d36698a4,24,Bad Behaviour,303666,2019/2020,La Liga,Barcelona,Gerard Piqué Bernabéu,7,Yellow Card
b2395a5b-d4cd-4c34-b4bd-d66cc16b3852,24,Bad Behaviour,16073,2018/2019,La Liga,Atlético Madrid,Filipe Luís Kasmirski,7,Yellow Card
51bd1956-45b5-45e3-9eb7-b76c6076f368,24,Bad Behaviour,16182,2018/2019,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,7,Yellow Card
18d1ce75-f99d-439e-80db-ca6d3276963b,24,Bad Behaviour,303707,2019/2020,La Liga,Real Betis,Guido Rodríguez,7,Yellow Card
1318e465-94f3-4c75-8209-87989ce6d688,24,Bad Behaviour,303532,2019/2020,La Liga,Leganés,Rubén Salvador Pérez Del Mármol,7,Yellow Card
da9341a1-4e2c-4f14-8beb-95e3f4a48ca8,24,Bad Behaviour,3749068,2003/2004,Premier League,Tottenham Hotspur,Robbie Keane,7,Yellow Card
d9255e3b-8c8c-44dd-8e21-84793ba1ad31,24,Bad Behaviour,3773625,2020/2021,La Liga,Barcelona,Ousmane Dembélé,7,Yellow Card
9f699928-8707-4f91-b979-c09369a0132c,24,Bad Behaviour,16079,2018/2019,La Liga,Barcelona,Jordi Alba Ramos,7,Yellow Card
d3a9f326-3abb-4fda-9505-c2e9c66b2afb,24,Bad Behaviour,3749454,2003/2004,Premier League,Arsenal,Fredrik Ljungberg,7,Yellow Card
77fde724-ff25-417c-82d3-855a51382526,24,Bad Behaviour,303470,2019/2020,La Liga,Real Madrid,Daniel Carvajal Ramos,7,Yellow Card
0076674d-7a50-41d3-8ec5-8269952bde58,24,Bad Behaviour,3773497,2020/2021,La Liga,Barcelona,Jordi Alba Ramos,7,Yellow Card
7e139fbc-9238-41a6-8b82-5794d5eed948,24,Bad Behaviour,3749454,2003/2004,Premier League,Manchester City,Michael Tarnat,7,Yellow Card
dea7e17d-17e8-47c8-9c13-62b62660dda2,24,Bad Behaviour,303470,2019/2020,La Liga,Barcelona,Jordi Alba Ramos,7,Yellow Card
