name,id,jersey,team,country
Sergio Camello Pérez,24995,27,Atlético Madrid,Spain
Teddy Sheringham,15410,10,Portsmouth,England
Alberto García Cabrera,11537,1,Rayo Vallecano,Spain
Kevin Campbell,375068,9,Everton,England
Martin Keown,15654,5,Arsenal,England
Sergio Herrera Pirón,24211,1,Osasuna,Spain
Vinícius José Paixão de Oliveira Júnior,18395,28,Real Madrid,Brazil
Orlando Rubén Yáñez Alabart,31615,1,Getafe,Spain
Paul Brooker,40245,0,Leicester City,England
Gabriel Iván Mercado,5742,25,Sevilla,Argentina
Fabricio Martín Agosto Ramírez,10277,13,Mallorca,Spain
Borja Sainz Eguskiza,30760,29,Deportivo Alavés,Spain
Kieran Trippier,3308,23,Atlético Madrid,England
Juan Miguel Jiménez López,6695,7,Real Sociedad,Spain
Callum Davidson,375890,14,Leicester City,Scotland
Daniel Morer Cabrera,41641,35,Barcelona,Spain
Jeremías Ledesma,29198,1,Cádiz,Argentina
Shon Zalman Weissman,29310,9,Real Valladolid,Israel
Aarón Escandell Banacloche,25704,13,Granada,Spain
Harry Kewell,34391,7,Liverpool,Australia
Esteban Rodrigo Burgos,23803,2,Eibar,Argentina
Carlos Akapo Martínez,17618,15,Cádiz,Equatorial Guinea
Carlos Soler Barragán,6583,8,Valencia,Spain
José Manuel Rodríguez Benito,6681,6,Levante UD,Spain
Francisco Alcácer García,6402,17,Villarreal,Spain
Jesús Joaquín Fernández Sáez de la Torre,7022,14,Sevilla,Spain
Javier Enrique Delgado Saverio,41408,38,Barcelona,Ecuador
Iván Alejo Peralta,6908,14,Cádiz,Spain
Wayne Bridge,40258,18,Chelsea,England
Aritz Castro Pérez,37236,31,Deportivo Alavés,Spain
Ian Bennett,40401,1,Birmingham City,England
Marko Rog,7040,20,Sevilla,Croatia
Sandro Ramírez Castillo,3508,6,Huesca,Spain
Carlo Cudicini,40260,0,Chelsea,Italy
Kenneth Josiah Omeruo,5830,4,Leganés,Nigeria
Joris Gnagnon,18921,2,Sevilla,France
"Bruno N""Gotty",40393,5,Bolton Wanderers,France
Marcos Javier Acuña,19597,19,Sevilla,Argentina
Filip Bradarić,6310,14,Celta Vigo,Croatia
Borja Iglesias Quintas,11391,7,Espanyol,Spain
Lucas Radebe,40370,5,Leeds United,South Africa
Ruud van Nistelrooy,19729,10,Manchester United,Netherlands
Raúl Albiol i Tortajada,7030,3,Villarreal,Spain
Rubén Pardo Gutiérrez,6899,14,Real Sociedad,Spain
Sergi Gómez Solà,6804,3,Sevilla,Spain
Iñigo Córdoba Kerejeta,6387,11,Athletic Club,Spain
Oghenekaro Etebo,5466,5,Getafe,Nigeria
Gonzalo Escalante,6712,5,Eibar,Argentina
Omenuke Mfulu,18783,6,Elche,"Congo, (Kinshasa)"
Renan Augusto Lodi dos Santos,26532,12,Atlético Madrid,Brazil
Lucas Torró Marset,12419,24,Osasuna,Spain
Rohan Ricketts,40316,27,Tottenham Hotspur,England
Paolo Di Canio,40375,11,Charlton Athletic,Italy
Pape Cheikh Diop Gueye,4558,24,Celta Vigo,Senegal
Alex Rae,40311,4,Wolverhampton Wanderers,Scotland
Yan Brice Eteki,24052,8,Granada,Cameroon
Alberto Perea Correoso,23811,10,Cádiz,Spain
Pedro López Muñoz,6787,19,Levante UD,Spain
Kevin Gameiro,6401,9,Valencia,France
Dino Baggio,15281,21,Blackburn Rovers,Italy
Marc Navarro Ceciliano,6756,2,Leganés,Spain
Óliver Torres Muñoz,12021,21,Sevilla,Spain
Jonathan Calleri,6930,12,Espanyol,Argentina
Óscar Esau Duarte Gaitán,5598,6,Levante UD,Costa Rica
Roberto Jiménez Gago,6571,1,Espanyol,Spain
Borja García Freire,6567,10,Girona,Spain
Lee Hendrie,40363,7,Aston Villa,England
Koba Lein Koindredi,39164,27,Valencia,France
Seydou Doumbia,17276,22,Girona,Côte d'Ivoire
Jens Lehmann,20015,1,Arsenal,Germany
Dwight Yorke,24766,0,Blackburn Rovers,Trinidad and Tobago
Hernâni Jorge Santos Fortes,12020,8,Levante UD,Portugal
Geoffrey Kondogbia,6589,6,Valencia,Central African Republic
Chidozie Collins Awaziem,3139,12,Leganés,Nigeria
Rodrigo Moreno Machado,5718,19,Valencia,Spain
Neill McCann,40443,10,Southampton,Scotland
Paul Konchesky,38404,16,Tottenham Hotspur,England
Mubarak Wakaso,6626,22,Deportivo Alavés,Ghana
Aaron Hughes,20059,18,Newcastle United,Northern Ireland
Víctor David Díaz Miguel,24133,16,Granada,Spain
Edgar González Estrada,33079,32,Real Betis,Spain
Dietmar Hamann,38522,16,Liverpool,Germany
Stefan Postma,364785,13,Aston Villa,Netherlands
Andriy Lunin,21390,13,Real Valladolid,Ukraine
Quinton Fortune Kolobea,40246,25,Manchester United,South Africa
Paul Daniel Smith,377675,13,Southampton,England
Daniel Alejandro Torres Rojas,6839,16,Deportivo Alavés,Colombia
Pau Francisco Torres,6892,4,Villarreal,Spain
Luis Federico López Andúgar,38832,33,Real Madrid,Spain
Jermain Defoe,3337,18,Tottenham Hotspur,England
Stephen Crainey,377676,6,Southampton,Scotland
Laureano Antonio Villa Suárez,11291,19,Real Valladolid,Spain
Ante Budimir,8654,22,Mallorca,Croatia
Léandre Griffit,40440,30,Southampton,France
Massimo Maccarone,40252,9,Middlesbrough,Italy
Abel Ruiz Ortega,24976,29,Barcelona,Spain
Paul Dickov,40240,22,Leicester City,Scotland
Gareth Frank Bale,6399,11,Real Madrid,Wales
Adrián Marín Gómez,6935,17,Deportivo Alavés,Spain
Gaël Clichy,20302,22,Arsenal,France
Francisco Gámez López,24576,15,Mallorca,Spain
Jorge Ruiz Ojeda,10765,1,Levante UD,Spain
Quincy Anton Promes,13360,21,Sevilla,Netherlands
Roberto Román Triguero,6914,2,Rayo Vallecano,Spain
Chris Riggott,40330,5,Middlesbrough,England
Gaizka Ayesa Burgui,51205,34,Real Sociedad,Spain
Germán Sánchez Barahona,24134,6,Granada,Spain
Keylor Navas Gamboa,5597,1,Real Madrid,Costa Rica
Ian Pearce,40421,35,Fulham,England
Álvaro García Segovia,41733,26,Atlético Madrid,Spain
Javier Hernández Balcázar,3058,14,Sevilla,Mexico
Néstor Alejandro Araújo Razo,11388,4,Celta Vigo,Mexico
Konrad De La Fuente,39469,29,Barcelona,United States of America
Diego Alejandro Rolan Silva,6739,9,Deportivo Alavés,Uruguay
Tobias Linderoth,20189,0,Everton,Sweden
Luis Ezequiel Ávila,11678,19,Huesca,Argentina
Tomás Pina Isla,6622,8,Deportivo Alavés,Spain
Moisés Gómez Bordonado,11675,6,Huesca,Spain
Javier Ontiveros Parra,20063,24,Villarreal,Spain
José Antonio Martínez Gil,24142,5,Granada,Spain
Antonio Moya Vega,8136,34,Atlético Madrid,Spain
Seth Johnson,40266,20,Leeds United,England
Wes Brown,40366,6,Manchester United,England
Miquel Parera Pizá,25595,25,Mallorca,Spain
Óscar de Marcos Arana,6649,18,Athletic Club,Spain
Pau López Sabata,6792,13,Real Betis,Spain
Louis Saha,20505,8,Fulham,France
Boris Živković,20402,4,Portsmouth,Croatia
Aleix García Serrano,6888,23,Girona,Spain
Ian Walker,40236,1,Leicester City,England
John O''Shea,16890,22,Manchester United,Ireland
Marc Cucurella Saseta,17620,20,Eibar,Spain
Pablo Ínsua Blanco,21399,18,Huesca,Spain
Paul Gallagher,9003,0,Blackburn Rovers,Scotland
Duncan Ferguson,24794,10,Everton,Scotland
Alpay Fehmi Özalan,15092,5,Aston Villa,Turkey
Omobolaji Habeeb Adekanye,31914,32,Cádiz,Netherlands
René Salomon Olembé-Olembé,40268,24,Leeds United,Cameroon
Samuel Pérez Fariña,41126,26,Real Valladolid,Spain
Damien Duff,20444,0,Chelsea,Ireland
Shaun Newton,40307,7,Wolverhampton Wanderers,England
Martin Braithwaite Christensen,4447,19,Barcelona,Denmark
Sulzeer Jeremiah ''Sol' Campbell,15637,23,Arsenal,England
Javier Eraso Goñi,6606,17,Leganés,Spain
Vasyl Kravets,23561,14,Leganés,Ukraine
Sidnei Rechel da Silva Júnior,6777,12,Real Betis,Brazil
Héctor Junior Firpo Adames,17304,20,Real Betis,Spain
Seung-Ho Paik,23264,35,Girona,Korea (South)
Barry Ferguson,40352,0,Blackburn Rovers,Scotland
Jamal Julian Campbell-Ryce,20549,22,Charlton Athletic,Jamaica
Jorge Molina Vidal,6630,19,Getafe,Spain
Nemanja Radoja,6796,5,Levante UD,Serbia
Fernando Pacheco Flores,6629,1,Deportivo Alavés,Spain
Mikel Oyarzabal Ugarte,6685,10,Real Sociedad,Spain
Aimar Oroz,40115,34,Osasuna,Spain
Ljubomir Fejsa,10318,15,Deportivo Alavés,Serbia
Manuel Alejandro García Sánchez,6632,19,Deportivo Alavés,Spain
Sergi Darder Moll,3236,10,Espanyol,Spain
Marcelo Vieira da Silva Júnior,5552,12,Real Madrid,Brazil
Guillem Molina Gutiérrez,39083,31,Valencia,Spain
Andrew Davies,40406,24,Middlesbrough,England
Kieron Dyer,20326,0,Newcastle United,England
Danny Higginbotham,40445,19,Southampton,Gibraltar
Paul Edgar Akouokou,42282,4,Real Betis,Côte d'Ivoire
Peru Nolaskoain Esnal,11744,31,Athletic Club,Spain
Rafael Jesús Navarro Mazuelos,6900,12,Deportivo Alavés,Spain
Mark Anthony Delaney,40361,2,Aston Villa,Wales
Craig Hignett,375886,5,Leicester City,England
Marc Pedraza Sarto,24269,6,Mallorca,Spain
Diego Lainez Leyva,22915,20,Real Betis,Mexico
Martin Taylor,41624,15,Birmingham City,England
Joseph-Desiré Job,40323,16,Middlesbrough,Cameroon
Rubén Peña Jiménez,6710,11,Eibar,Spain
Dragan Rosić,28194,40,Celta Vigo,Serbia
Emre Mor,6803,11,Celta Vigo,Turkey
Sergio León Limones,6657,7,Real Betis,Spain
Ben Thatcher,375889,33,Leicester City,Wales
Óscar Mingueza García,43728,28,Barcelona,Spain
Álvaro Odriozola Arzallus,6689,19,Real Madrid,Spain
Óscar Plano Pedreño,11296,10,Real Valladolid,Spain
Pione Sisto Ifolo Emirmija,5516,11,Celta Vigo,Denmark
Miguel Ángel Moyà Rumbo,7069,13,Real Sociedad,Spain
Carlos Manuel Bocanegra,40420,34,Fulham,United States of America
Nabil El Zhar,6608,10,Leganés,Morocco
Yuri Berchiche Izeta,3023,12,Athletic Club,Spain
Jorge Miramón Santagertrudis,11676,24,Huesca,Spain
Damián Marcelo Musto,11674,23,Huesca,Argentina
Gabriel Armando de Abreu,6746,5,Valencia,Brazil
Pascal Cygan,26194,18,Arsenal,France
Lee Carsley,375066,26,Everton,Ireland
Adrià Giner Pedrosa,22287,28,Espanyol,Spain
Luis Fernando Muriel Fruto,6334,14,Sevilla,Colombia
Carlos Fernández Luna,8866,9,Real Sociedad,Spain
Unai López Cabrera,11746,23,Athletic Club,Spain
Amath Ndiaye,6621,11,Getafe,Senegal
Enrique González Casín,23808,7,Eibar,Spain
Steve Harper,24801,12,Newcastle United,England
Ignacio Peña Sotorres,37237,30,Barcelona,Spain
Marcus Bent,40242,38,Leicester City,England
Thomas Gravesen,15513,0,Everton,Denmark
Mario Suárez Mata,23488,15,Rayo Vallecano,Spain
Thibaut Courtois,3509,25,Real Madrid,Belgium
Lee Naylor,40304,3,Wolverhampton Wanderers,England
Ramon Olamilekan Azeez,24127,12,Granada,Nigeria
Kevin Kilbane,375070,14,Everton,Ireland
Ibai Gómez Pérez,6617,7,Athletic Club,Spain
Daniel Carvajal Ramos,5721,2,Real Madrid,Spain
Jonatan Carmona Alamo,41106,37,Elche,Spain
Allan Romeo Nyom,3991,12,Leganés,Cameroon
Hernán Jorge Crespo,34394,0,Chelsea,Argentina
Alan Shearer,40231,9,Newcastle United,England
Pablo Maffeo Becerra,6564,3,Huesca,Spain
Thomas Løvendahl Sørensen,20145,1,Aston Villa,Denmark
Fyodor Smolov,5194,9,Celta Vigo,Russia
Yassine Bounou,6785,13,Girona,Morocco
Papa Kouly Diop,6867,8,Eibar,Senegal
Sergio Álvarez Díaz,13107,6,Eibar,Spain
Iddrisu Baba Mohammed,24087,12,Mallorca,Ghana
Takefusa Kubo,31090,26,Mallorca,Japan
Steve McManaman,15407,20,Manchester City,England
Idrissa Doumbia,23307,2,Huesca,Côte d'Ivoire
José Raúl Gutiérrez Parejo,24517,14,Elche,Spain
Tomas Franco Tavares,31779,37,Deportivo Alavés,Portugal
Pablo Sarabia García,6720,17,Sevilla,Spain
Facundo Sava,45965,9,Fulham,Argentina
Sami Hyypiä,34389,4,Liverpool,Finland
Leslie Ferdinand,38556,9,Leicester City,England
Ricard Sánchez Sendra,41732,29,Atlético Madrid,Spain
Dorival Guidoni Júnior,40329,20,Middlesbrough,Brazil
Mikel San José Domínguez,6389,6,Athletic Club,Spain
Laurent Robert,40227,32,Newcastle United,France
Wayne Mark Rooney,3538,0,Everton,England
Jan Oblak,6378,13,Atlético Madrid,Slovenia
Franck Queudrue,40328,3,Middlesbrough,France
Federico Barba,17520,3,Real Valladolid,Italy
Enrique Barja Afonso,24315,19,Osasuna,Spain
Francisco Javier Hidalgo Gómez,30492,2,Levante UD,Spain
Sergi Roberto Carnicer,6379,20,Barcelona,Spain
José Luis Gayà Peña,6596,14,Valencia,Spain
Iván Ramis Barrios,6778,4,Eibar,Spain
Andy Impey,375888,2,Leicester City,England
