name,id,jersey,team,country
Claus Jensen,20153,10,Charlton Athletic,Denmark
Juan Francisco Martínez Modesto,24166,7,Elche,Spain
Pol Lozano Vizuete,31885,26,Espanyol,Spain
Ante Palaversa,28589,14,Getafe,Croatia
Sergio Reguilón Rodríguez,18620,23,Real Madrid,Spain
Dean Kiely,40378,1,Charlton Athletic,Ireland
Unai Bustinza Martínez,6598,3,Leganés,Spain
Miguel Ángel Rubio Lestan,8651,30,Real Valladolid,Spain
Pablo Hervías Ruiz,12073,11,Real Valladolid,Spain
Salvador Sánchez Ponce,23973,7,Cádiz,Spain
David Juncà Reñé,6776,17,Celta Vigo,Spain
Scott Carson,4815,40,Leeds United,England
Edinaldo Gomes Pereira,6769,5,Espanyol,Brazil
Ibrahim Amadou,11332,23,Leganés,France
Milan Baroš,19735,5,Liverpool,Czech Republic
Sergio Guardiola Navarro,17027,7,Real Valladolid,Spain
Rubén Duarte Sánchez,6612,3,Deportivo Alavés,Spain
Mikel Vesga Arruti,6667,23,Leganés,Spain
Ángel Montoro Sánchez,24144,19,Granada,Spain
Robbie Keane,11348,10,Tottenham Hotspur,Ireland
Kevin Phillips,40433,7,Southampton,England
Manuel Agudo Durán,6724,3,Celta Vigo,Spain
Gustavo Daniel Cabral Cáceres,6794,22,Celta Vigo,Argentina
Jody Craddock,40314,12,Wolverhampton Wanderers,England
Jonatan Lillebror Johansson,40382,21,Charlton Athletic,Finland
Javier Avilés Cortés,30798,33,Leganés,Spain
Héctor Alfredo Moreno Herrera,5573,6,Real Sociedad,Mexico
Jon Morcillo Conesa,47226,2,Athletic Club,Spain
Stole Dimitrievski,21397,13,Rayo Vallecano,"Macedonia, Republic of"
Michael Tarnat,24758,0,Manchester City,Germany
Graeme Le Saux,377674,3,Southampton,England
Éder Gabriel Militão,13620,3,Real Madrid,Brazil
Hugo Guillamón Sanmartín,35641,15,Valencia,Spain
Mark Viduka,40373,9,Leeds United,Australia
David Timor Copoví,6786,24,Getafe,Spain
Rio Ferdinand,20171,5,Manchester United,England
Mark Kinsella,364784,26,Aston Villa,Ireland
Daniel Martín Fernández,30518,13,Real Betis,Spain
Manuel Morlanes Ariño,11384,28,Villarreal,Spain
Gary Neville,15402,2,Manchester United,England
Thomas Hitzlsperger,20019,12,Aston Villa,Germany
Gerard Moreno Balaguero,6766,7,Villarreal,Spain
Santiago Cazorla González,11386,19,Villarreal,Spain
Luis Carlos Correia Pinto,6734,16,Huesca,Portugal
Kevin Cyril Davies,40388,14,Bolton Wanderers,England
André Miguel Valente Silva,5218,12,Sevilla,Portugal
Lorenzo Jesús Morón García,7910,16,Real Betis,Spain
Hugo Miguel Ferreira Gomes Viana,26010,45,Newcastle United,Portugal
Jesús Vallejo Lázaro,6893,20,Granada,Spain
Raúl de Tomás Gómez,16209,9,Rayo Vallecano,Spain
Trevor Benjamin,40244,0,Leicester City,Jamaica
Jamie Clapham,40298,0,Birmingham City,England
Antonio José Raillo Arenas,24086,21,Mallorca,Spain
Víctor Ruíz Torre,6752,6,Villarreal,Spain
Ander Guevara Lajo,24236,16,Real Sociedad,Spain
Richard Dunne,20447,22,Manchester City,Ireland
Daniel Ceballos Fernández,6697,24,Real Madrid,Spain
Brais Méndez Portela,6799,23,Celta Vigo,Spain
Dídac Vilá Rosselló,6886,12,Espanyol,Spain
Nicky Hunt,9353,18,Bolton Wanderers,England
Álvaro Vadillo Cifuentes,24143,7,Granada,Spain
Unai Etxebarría Martín,41687,42,Valencia,Spain
Vitorino Gabriel Pacheco Antunes,6619,3,Getafe,Portugal
Hugo Sotelo,117025,44,Celta Vigo,Spain
Antoine Sibierski,40223,0,Manchester City,France
Iván Martínez Marqués,52108,36,Osasuna,Spain
Raúl Blanco Juncal,48643,35,Celta Vigo,Spain
Asier Illarramendi Andonegi,6671,4,Real Sociedad,Spain
Alejandro Pachón Párraga,42283,37,Girona,Spain
Carles Aleña Castillo,13599,26,Barcelona,Spain
Francis Joseph Coquelin,3437,17,Valencia,France
Jason Roberts,40342,31,Portsmouth,Grenada
Brad Jones,7752,35,Middlesbrough,Australia
Iván Villar Martínez,40890,25,Celta Vigo,Spain
Paul Scholes,15666,18,Manchester United,England
Glen Johnson,4724,0,Chelsea,England
Peter Whittingham,4394,17,Aston Villa,England
Francisco José Olivas Alba,11304,4,Real Valladolid,Spain
Gonzalo Cacicedo Verdú,24169,5,Elche,Spain
Javier Sánchez de Felipe,21225,5,Real Valladolid,Spain
Dominic Matteo,39847,21,Leeds United,Scotland
Mickaël Malsa,23966,12,Levante UD,Martinique
Fidel Chaves de la Torre,23825,16,Elche,Spain
Luis Alberto Suárez Díaz,5246,9,Barcelona,Uruguay
Gaizka Larrazabal Goikoetxea,30715,12,Athletic Club,Spain
Daniel Vivian Moreno,41542,29,Athletic Club,Spain
Simon Davies,40277,29,Tottenham Hotspur,Wales
Aihen Muñoz Capellán,22452,12,Real Sociedad,Spain
Johan Andrés Mojica Palacio,5691,25,Elche,Colombia
Kelechi Nwakali,7922,26,Huesca,Nigeria
Moses Daddy-Ajala Simon,18163,7,Levante UD,Nigeria
Trevor Sinclair,40217,0,Manchester City,England
Jérôme Bonnissel,40414,18,Fulham,France
Leandro Chichizola,6931,1,Getafe,Argentina
Lluis Sastre Reus,19396,22,Huesca,Spain
Joan Jordán Moreno,6701,24,Eibar,Spain
Malcom Filipe Silva de Oliveira,3109,14,Barcelona,Brazil
Brett Ormerod,40437,36,Southampton,England
Iñigo Vicente Elorduy,30468,26,Athletic Club,Spain
Justin Hoyte,24840,0,Arsenal,Trinidad and Tobago
Robert Pirès,19312,7,Arsenal,France
Shay Given,20446,1,Newcastle United,Ireland
Álex Collado Gutiérrez,24949,30,Barcelona,Spain
Bobby Zamora,38402,25,Tottenham Hotspur,England
Bernardo José Espinosa Zúñiga,6573,2,Girona,Colombia
Damián Nicolás Suárez Suárez,6627,22,Getafe,Uruguay
Víctor Machín Pérez,6841,20,Atlético Madrid,Spain
Francisco Javier Campos Coll,25061,5,Mallorca,Spain
Roy Keane,24805,16,Manchester United,Ireland
Salvador Sevilla López,24072,8,Mallorca,Spain
Jonathan Woodgate,38418,27,Newcastle United,England
Steve Simonsen,375069,13,Everton,England
Matthew Upson,40300,0,Birmingham City,England
Sergio Bermejo Lillo,32815,28,Celta Vigo,Spain
