event_id,id,name,match_id,season,competition,team,player,deflection,offensive,save
6d67eae3-7f7c-42b8-a715-525ccf82d389,6,Block,303682,2019/2020,La Liga,Levante UD,Jorge Miramón Santagertrudis,False,False,False
71d215c0-ca0d-4cc2-afff-4b065c613282,6,Block,3749233,2003/2004,Premier League,Arsenal,Gilberto Aparecido da Silva,False,False,False
56e257cb-3296-4f69-8c06-d4f2cb63d9a0,6,Block,3749603,2003/2004,Premier League,Fulham,Sylvain Legwinski,False,False,False
88f2d577-2c4f-454f-97ab-67430d0304c8,6,Block,303707,2019/2020,La Liga,Barcelona,Sergi Roberto Carnicer,False,False,False
fa31cc4d-db33-40e1-96ad-24fe618b2ad8,6,Block,15946,2018/2019,La Liga,Barcelona,Samuel Yves Umtiti,False,False,False
f868b333-f152-46aa-a7dd-bac222596ea2,6,Block,16086,2018/2019,La Liga,Barcelona,Jordi Alba Ramos,False,False,False
d9a8f990-2698-4c2d-9f0d-c0fd6d2e2b8b,6,Block,3749448,2003/2004,Premier League,Liverpool,Sami Hyypiä,False,False,False
9784857d-a31f-4ab2-b17f-84abeb0eb66e,6,Block,3773689,2020/2021,La Liga,Villarreal,Moisés Gómez Bordonado,False,False,False
5d40e3a5-ea80-4a9f-8f3f-66575fbac3c9,6,Block,3749233,2003/2004,Premier League,Arsenal,Pascal Cygan,False,False,False
f321b1a4-6c59-48c5-a505-2c5a439500da,6,Block,3749642,2003/2004,Premier League,Charlton Athletic,Mark Fish,False,False,False
81b820af-47d7-4c21-8bc2-b9f243590468,6,Block,3773660,2020/2021,La Liga,Barcelona,Ronald Federico Araújo da Silva,False,False,False
c7a18124-1857-4043-8628-906289c680d2,6,Block,3773660,2020/2021,La Liga,Levante UD,Carlos Clerc Martínez,False,False,False
da31e1d6-7e84-45bc-bf23-4f97b9559a17,6,Block,3773377,2020/2021,La Liga,Valencia,Alejandro Blanco Sánchez,False,False,False
88fffafc-4fef-453b-907e-4c1604da47d5,6,Block,3749233,2003/2004,Premier League,Arsenal,Pascal Cygan,False,False,False
0edf5f94-a2ab-4af1-8532-7d01fce790a3,6,Block,3749642,2003/2004,Premier League,Arsenal,Dennis Bergkamp,False,False,False
