event_id,id,name,match_id,season,competition,team,player,statsbomb_xg,loc_x,loc_y,loc_z,follows_dribble,first_time,open_net,deflected,technique_id,technique_name,body_id,body_name,outcome_id,outcome_name
d97ad321-9bc4-42dd-8289-9c82dc07ffb4,16,Shot,303680,2019/2020,La Liga,Barcelona,Ricard Puig Martí,0.055552505,118.1,40.6,0.8,False,False,False,True,93,Normal,40,Right Foot,100,Saved
0ec2079c-e9aa-41c5-8065-8d315603aeed,16,Shot,3749192,2003/2004,Premier League,Fulham,Sean Davis,0.020448154,120.0,49.9,4.6,False,True,False,False,93,Normal,40,Right Foot,98,Off T
fc38d4c6-a48c-49b2-bf5f-fb440b874a70,16,Shot,15986,2018/2019,La Liga,Barcelona,Ousmane Dembélé,0.036971256,117.6,39.3,0.2,False,False,False,False,93,Normal,40,Right Foot,100,Saved
8417c8c7-6a6d-4123-87fd-a020babc41bf,16,Shot,3773547,2020/2021,La Liga,Barcelona,Antoine Griezmann,0.5476993,108.0,39.3,0.0,False,True,False,False,93,Normal,40,Right Foot,100,Saved
7d7a1441-da50-4a7c-bfcd-bb6ffb989e1a,16,Shot,3749631,2003/2004,Premier League,Southampton,Rory Delap,0.036509596,100.5,41.6,,False,False,False,False,91,Half Volley,40,Right Foot,96,Blocked
12a429ae-3f21-4bba-8e07-a44f6b8f0989,16,Shot,303652,2019/2020,La Liga,Espanyol,Jonathan Calleri,0.076473005,120.0,57.4,4.0,False,False,False,False,91,Half Volley,40,Right Foot,98,Off T
65ffc1a0-8533-4fa5-8395-02830342b905,16,Shot,3773526,2020/2021,La Liga,Barcelona,Francisco António Machado Mota de Castro Trincão,0.040493246,120.0,45.0,0.0,False,False,False,False,93,Normal,38,Left Foot,98,Off T
497856b8-b067-46f0-a05d-0460263776e8,16,Shot,303731,2019/2020,La Liga,Barcelona,Ivan Rakitić,0.13996844,117.9,37.2,1.0,False,True,False,False,91,Half Volley,38,Left Foot,100,Saved
25fb3401-881c-4261-91a4-9201cf0e21ae,16,Shot,3773377,2020/2021,La Liga,Valencia,Mouctar Diakhaby,0.22057752,120.0,43.1,0.6,False,False,False,False,93,Normal,37,Head,97,Goal
1d0c61ed-8fda-4c25-bf47-1b0577629380,16,Shot,3773497,2020/2021,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,0.04573942,99.2,35.6,,False,False,False,False,93,Normal,38,Left Foot,96,Blocked
bb0b96be-b6e0-4604-b9a8-6f4c9c43b22e,16,Shot,3749133,2003/2004,Premier League,Arsenal,Thierry Henry,0.10075821,115.9,43.5,,False,False,False,False,93,Normal,40,Right Foot,96,Blocked
68cee7d0-9a58-4f2b-8db2-dd782ba12206,16,Shot,16086,2018/2019,La Liga,Barcelona,Luis Alberto Suárez Díaz,0.29755476,120.0,44.1,0.2,False,True,False,False,95,Volley,40,Right Foot,99,Post
de695322-4994-4604-b498-70026b8a09d7,16,Shot,3773586,2020/2021,La Liga,Granada,Darwin Daniel Machís Marcano,0.2860311,120.0,36.9,0.2,False,False,False,False,93,Normal,38,Left Foot,97,Goal
def34751-ec15-4374-a2d5-7094dc3cfdf8,16,Shot,3773428,2020/2021,La Liga,Barcelona,Miralem Pjanić,0.35434714,115.6,34.6,0.2,False,False,False,False,93,Normal,40,Right Foot,100,Saved
0a319e85-d945-44d8-8e27-334d7d36a064,16,Shot,16109,2018/2019,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,0.09813295,118.1,36.9,0.2,False,True,False,False,93,Normal,38,Left Foot,100,Saved
2eb2ae54-08fc-4c70-ace8-99f87ca064fc,16,Shot,15946,2018/2019,La Liga,Barcelona,Ousmane Dembélé,0.07606251,120.0,59.5,,False,True,False,False,91,Half Volley,38,Left Foot,101,Wayward
85e61cd7-9e92-4db6-bfe7-3b8ffb6cd85e,16,Shot,3773477,2020/2021,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,0.7835,120.0,43.3,2.3,False,False,False,False,93,Normal,38,Left Foot,97,Goal
0cf89521-c1d7-45e2-ad97-f9351b40ab11,16,Shot,3749196,2003/2004,Premier League,Tottenham Hotspur,Hélder Manuel Marques Postiga,0.025745174,96.7,45.7,,False,False,False,False,93,Normal,38,Left Foot,96,Blocked
2dd05dc7-32d9-4ce7-bd28-5f2d3032c612,16,Shot,303725,2019/2020,La Liga,Barcelona,Arturo Erasmo Vidal Pardo,0.08578716,116.6,41.8,0.4,False,True,False,False,93,Normal,40,Right Foot,100,Saved
7a3a08e0-fc9a-44dd-b94a-e01c6b6f0020,16,Shot,3749642,2003/2004,Premier League,Charlton Athletic,Paolo Di Canio,0.045717925,120.0,47.0,2.1,False,False,False,False,91,Half Volley,40,Right Foot,98,Off T
8f0f54e2-8436-474b-9a46-c8af87e3affc,16,Shot,3749196,2003/2004,Premier League,Arsenal,Fredrik Ljungberg,0.044514116,120.0,43.1,0.6,False,False,False,True,93,Normal,40,Right Foot,97,Goal
b8af47ae-e2ec-4239-8015-69ea85667106,16,Shot,16306,2018/2019,La Liga,Getafe,Mauro Wilney Arambarri Rosa,0.016853673,99.9,44.3,,False,True,False,False,93,Normal,40,Right Foot,96,Blocked
68d77a29-eb26-4a1a-b777-e6258f50690b,16,Shot,3749528,2003/2004,Premier League,Newcastle United,Laurent Robert,0.00828472,120.0,31.2,0.4,False,False,False,False,93,Normal,38,Left Foot,98,Off T
47204227-418b-4fdf-976d-0779a075e1b8,16,Shot,3773386,2020/2021,La Liga,Barcelona,Sergino Dest,0.021675078,102.5,34.3,,False,False,False,False,93,Normal,40,Right Foot,96,Blocked
