event_id,id,name,match_id,season,competition,team,player,defensive,advantage,penalty
d8ed7570-781f-43ac-8f2d-29b6d912f3ca,21,Foul Won,3749079,2003/2004,Premier League,Chelsea,"Gérémi Sorele N""Djitap Fotso",False,False,False
2fcfa33a-1440-46b0-b33d-232cc84e3a70,21,Foul Won,303532,2019/2020,La Liga,Leganés,Jonathan Cristian Silva,True,False,False
77c873bf-de55-43fb-826b-17f875724036,21,Foul Won,3773377,2020/2021,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False,False
7e674e5e-9d3e-4eff-890a-1a0968eb18aa,21,Foul Won,16265,2018/2019,La Liga,Barcelona,Arturo Erasmo Vidal Pardo,False,False,False
a285c8c6-3215-4a03-8428-2309098b5551,21,Foul Won,3764661,2020/2021,La Liga,Athletic Club,Yuri Berchiche Izeta,False,False,False
15039681-163f-4f94-899c-906db273e440,21,Foul Won,3749296,2003/2004,Premier League,Portsmouth,Nigel Quashie,False,False,False
aba6f32f-ee0c-4eb5-bdf5-c6983ebb9af0,21,Foul Won,16109,2018/2019,La Liga,Celta Vigo,Maximiliano Gómez González,False,False,False
1c04386d-f7f0-411e-866c-80129bf52988,21,Foul Won,3773428,2020/2021,La Liga,Barcelona,Miralem Pjanić,False,False,False
6d8527ee-6e05-413c-a6b2-30bbc10afa79,21,Foul Won,16289,2018/2019,La Liga,Levante UD,Borja Mayoral Moya,False,False,False
6dc061da-af48-4701-bae6-e73ab05d4e53,21,Foul Won,303479,2019/2020,La Liga,Barcelona,Sergio Busquets i Burgos,False,False,False
08ae4d61-e059-416d-b312-6db354ebb5b9,21,Foul Won,303707,2019/2020,La Liga,Real Betis,Guido Rodríguez,True,False,False
069be7ca-9d68-41c8-a247-bc7e8e70707e,21,Foul Won,3773477,2020/2021,La Liga,Barcelona,Anssumane Fati,True,False,True
8d67aa10-469b-4a7b-9300-791f7dc5bafc,21,Foul Won,16073,2018/2019,La Liga,Atlético Madrid,Saúl Ñíguez Esclapez,True,False,False
8f6ef503-f901-4c93-9d7e-af3fd17b3ca8,21,Foul Won,303610,2019/2020,La Liga,Barcelona,Ivan Rakitić,False,True,False
c2f389c9-1635-4a73-8160-c1b61ddf27ac,21,Foul Won,3749603,2003/2004,Premier League,Arsenal,Thierry Henry,False,False,False
a8bd39f5-c586-42f2-9cbf-41f0311fd386,21,Foul Won,3773415,2020/2021,La Liga,Cádiz,Rubén Sobrino Pozuelo,False,True,False
ae074e91-066c-41bf-9753-8586bd2c00a3,21,Foul Won,3749642,2003/2004,Premier League,Arsenal,Sulzeer Jeremiah ''Sol' Campbell,True,False,False
3cbb7ce7-b62d-40d6-bc0a-531929c4dffa,21,Foul Won,3749117,2003/2004,Premier League,Arsenal,Fredrik Ljungberg,False,True,False
3e16247b-cbac-4b3e-98fa-11e4b10114df,21,Foul Won,3749117,2003/2004,Premier League,Everton,Lee Carsley,True,False,False
73310173-8ca2-48a0-929f-16e204f1183b,21,Foul Won,15986,2018/2019,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False,False
bda09f2a-807c-4232-95ba-9a6b0db2667c,21,Foul Won,15998,2018/2019,La Liga,Barcelona,Philippe Coutinho Correia,False,False,False
dfdf2b78-2236-479c-90b0-7070c9e491b1,21,Foul Won,303615,2019/2020,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False,False
900b104a-08a4-43c8-8974-480b5997e69a,21,Foul Won,3749257,2003/2004,Premier League,Leicester City,Marcus Bent,True,False,False
4b704afa-685a-43be-a26a-f8fa05581f45,21,Foul Won,303615,2019/2020,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False,False
0852972c-f573-4170-9127-85ef62636572,21,Foul Won,16073,2018/2019,La Liga,Barcelona,Arthur Henrique Ramos de Oliveira Melo,False,False,False
0a71f845-592e-42af-a727-853974d42066,21,Foul Won,16109,2018/2019,La Liga,Barcelona,Luis Alberto Suárez Díaz,False,False,False
c2b2fd36-0d1f-46b3-b00b-3840bb231d3f,21,Foul Won,3773661,2020/2021,La Liga,Barcelona,Sergi Roberto Carnicer,False,False,False
89efe65e-960b-45ac-82a2-9dff76a95d7b,21,Foul Won,16275,2018/2019,La Liga,Barcelona,Luis Alberto Suárez Díaz,False,False,False
bfbb32f5-7fa8-4ad3-8dd4-03eafccb8a53,21,Foul Won,15978,2018/2019,La Liga,Real Sociedad,Theo Bernard François Hernández,True,False,False
63137b93-83a8-40fa-83b6-4489c670601f,21,Foul Won,16023,2018/2019,La Liga,Barcelona,Arthur Henrique Ramos de Oliveira Melo,False,False,False
00de5374-aada-4862-b808-383c36a43553,21,Foul Won,3773372,2020/2021,La Liga,Atlético Madrid,Ángel Martín Correa,False,False,False
cf8f23a1-1a95-4ba5-9e56-f4b93606962d,21,Foul Won,303696,2019/2020,La Liga,Atlético Madrid,Yannick Ferreira Carrasco,False,True,False
1ad5c08e-0657-470a-8436-cd9842b78656,21,Foul Won,3773466,2020/2021,La Liga,Barcelona,Jordi Alba Ramos,False,False,False
7a90076e-d4e4-4e04-8629-264d52f854ea,21,Foul Won,3773474,2020/2021,La Liga,Barcelona,Óscar Mingueza García,True,False,False
87798314-4b64-4a52-b07c-4d6204ec7778,21,Foul Won,3773403,2020/2021,La Liga,Barcelona,Antoine Griezmann,False,False,False
5680f044-4439-4526-a357-e4ef172372e6,21,Foul Won,303664,2019/2020,La Liga,Real Sociedad,Joseba Zaldúa Bengoetxea,False,False,False
34e4463d-cbe0-4fe0-b22a-775feaeba149,21,Foul Won,303715,2019/2020,La Liga,Barcelona,Luis Alberto Suárez Díaz,False,False,False
089c7775-2c13-4754-96ce-d13e8caf1b53,21,Foul Won,15978,2018/2019,La Liga,Barcelona,Ivan Rakitić,False,False,False
32d89877-adde-4620-a989-ce1d98e357ca,21,Foul Won,16120,2018/2019,La Liga,Getafe,Damián Nicolás Suárez Suárez,False,False,False
ff81957a-dec9-4c12-a2d6-2496c726c5cb,21,Foul Won,3749276,2003/2004,Premier League,Chelsea,Wayne Bridge,True,False,False
4e96a281-ab57-4703-81fd-1e355784aa8a,21,Foul Won,16149,2018/2019,La Liga,Girona,Alejandro Granell Nogué,True,False,False
d7745cad-0f6f-49a9-acbf-724f44e4d52d,21,Foul Won,3749631,2003/2004,Premier League,Southampton,Danny Higginbotham,True,False,False
045e6c6a-2e63-4b8c-b793-26694c9611ad,21,Foul Won,3749196,2003/2004,Premier League,Arsenal,Laureano Bisan-Etame Mayer,True,False,False
3d1f709d-b24e-42be-858c-209720b366de,21,Foul Won,3773477,2020/2021,La Liga,Barcelona,Antoine Griezmann,False,False,False
7b7a0ea4-ccb9-4449-9825-8371a772397c,21,Foul Won,303517,2019/2020,La Liga,Deportivo Alavés,Martín Aguirregabiria Padilla,False,False,False
c5f6fcb3-f19d-4db4-977b-0b5e6a7ba264,21,Foul Won,16109,2018/2019,La Liga,Celta Vigo,Iago Aspas Juncal,False,True,False
9d560aa6-00fd-445a-8fe4-7a1ae235a994,21,Foul Won,16079,2018/2019,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,True,False,False
8f1b0f62-8291-4df7-a5e7-4eafb1ed7eea,21,Foul Won,3749108,2003/2004,Premier League,Arsenal,Fredrik Ljungberg,True,False,False
866cf924-5963-423b-befd-f221b33404cf,21,Foul Won,303696,2019/2020,La Liga,Barcelona,Sergio Busquets i Burgos,True,False,False
