event_id,id,name,match_id,season,competition,team,player,pos_id,pos_name,technique_id,technique_name,body_id,body_name,outcome_id,outcome_name
94a94bc8-652d-44b0-a03a-d19f8f180587,23,Goal Keeper,303400,2019/2020,La Liga,Valencia,Jaume Doménech Sánchez,44,Set,46,Standing,35,Both Hands,15,Success
4db1a284-eb4e-4730-ad81-f48d255e6ca8,23,Goal Keeper,3773466,2020/2021,La Liga,Celta Vigo,Iván Villar Martínez,44,Set,46,Standing,40,Right Foot,52,In Play Danger
5f2091a7-1d68-48d2-8cee-820df521f248,23,Goal Keeper,15956,2018/2019,La Liga,Real Valladolid,Jordi Masip López,44,Set,45,Diving,35,Both Hands,59,Touched Out
eb92b8aa-15fa-4250-bca3-ba25f6036bd1,23,Goal Keeper,3773661,2020/2021,La Liga,Getafe,David Soria Solís,,,,,,,53,In Play Safe
ffcbf61b-c414-42e9-a05e-b0dedaa61536,23,Goal Keeper,3749310,2003/2004,Premier League,Southampton,Antti Mikko Niemi,42,Moving,,,,,,
169fa702-4bf2-4662-9c0f-b0e93947d2a6,23,Goal Keeper,303700,2019/2020,La Liga,Eibar,Marko Dmitrović,44,Set,45,Diving,,,55,No Touch
89a905e5-f6ca-4f50-b8b7-f7e1a239370c,23,Goal Keeper,3749465,2003/2004,Premier League,Blackburn Rovers,Brad Friedel,44,Set,45,Diving,41,Right Hand,52,In Play Danger
d6b2402b-5ef3-4847-bfad-2ac380b02430,23,Goal Keeper,3749590,2003/2004,Premier League,Arsenal,Jens Lehmann,,,,,37,Head,48,Clear
c1749c1c-abf9-4cfd-bd02-ca04f92d3221,23,Goal Keeper,3773523,2020/2021,La Liga,Barcelona,Marc-André ter Stegen,44,Set,,,,,,
a2c6691e-2ee3-4236-8ef6-4516adcca234,23,Goal Keeper,3773586,2020/2021,La Liga,Granada,Aarón Escandell Banacloche,44,Set,,,,,,
dfe55655-1208-4841-959b-de79a2007f7d,23,Goal Keeper,3749642,2003/2004,Premier League,Arsenal,Jens Lehmann,44,Set,,,,,,
f354bb35-6231-4708-a2f6-1794203a729b,23,Goal Keeper,3773571,2020/2021,La Liga,Real Valladolid,Jordi Masip López,44,Set,45,Diving,41,Right Hand,59,Touched Out
cc6d1faf-1e18-4a29-af59-f333dea880f4,23,Goal Keeper,3749253,2003/2004,Premier League,Arsenal,Jens Lehmann,44,Set,,,,,,
e1d89fa2-e7c8-4205-ad3f-0d62348f256e,23,Goal Keeper,3749590,2003/2004,Premier League,Leicester City,Ian Walker,,,,,,,47,Claim
80903f0b-4b07-41ef-b76e-e930c8eb0b67,23,Goal Keeper,16157,2018/2019,La Liga,Barcelona,Marc-André ter Stegen,44,Set,46,Standing,35,Both Hands,56,Saved Twice
a3f0ac03-64e5-4950-8dbb-92cd050afeb8,23,Goal Keeper,3749603,2003/2004,Premier League,Fulham,Edwin van der Sar,44,Set,,,,,,
