event_id,id,name,match_id,season,competition,team,player,aerial_won,body_id,body_name
cbc6e216-2ea0-4537-a4dd-54092afd7f21,9,Clearance,3749431,2003/2004,Premier League,Newcastle United,Jonathan Woodgate,False,37,Head
14d1de68-f03f-462b-83a6-d428a2c01464,9,Clearance,303493,2019/2020,La Liga,Barcelona,Gerard Piqué Bernabéu,False,37,Head
c7c9dd89-d237-4774-9c97-35707bc69b73,9,Clearance,3773387,2020/2021,La Liga,Levante UD,Roberto Suárez Pier,False,40,Right Foot
9d7281ec-557e-41e4-8795-3c440482efdc,9,Clearance,3773571,2020/2021,La Liga,Real Valladolid,Joaquín Fernández Moreno,False,40,Right Foot
7260c354-ff6c-4ec5-8b83-24a36988522d,9,Clearance,3749246,2003/2004,Premier League,Manchester United,John O''Shea,False,40,Right Foot
af63d1f7-6188-43c0-952b-3b3a0676023e,9,Clearance,303596,2019/2020,La Liga,Barcelona,Clément Lenglet,False,37,Head
51440099-3b1d-499e-95da-bc1a9b70596b,9,Clearance,3773415,2020/2021,La Liga,Cádiz,Isaac Carcelén Valencia,False,37,Head
c0e6a41b-ec23-42a2-88c5-2b9f51a30dda,9,Clearance,3773571,2020/2021,La Liga,Barcelona,Frenkie de Jong,True,37,Head
c6778011-e687-4076-ba0e-10ba2cf82c24,9,Clearance,3764440,2020/2021,La Liga,Barcelona,Miralem Pjanić,True,37,Head
763742ca-d521-4347-8f14-05646aa0efed,9,Clearance,303516,2019/2020,La Liga,Celta Vigo,Fyodor Smolov,False,37,Head
f7f73bcc-45d1-4ecc-82c8-c1f597e1591b,9,Clearance,303700,2019/2020,La Liga,Barcelona,Frenkie de Jong,True,37,Head
2017b347-2412-44be-8949-6475694c990e,9,Clearance,3749246,2003/2004,Premier League,Manchester United,Roy Keane,False,40,Right Foot
9ca94765-b86e-4f74-80a0-190e03d76ffc,9,Clearance,16109,2018/2019,La Liga,Celta Vigo,David Costas Cordal,False,40,Right Foot
bdbc0ec0-5e47-4e5b-8294-5c8e56131d2f,9,Clearance,3749153,2003/2004,Premier League,Middlesbrough,George Boateng,False,40,Right Foot
ae18d57e-74fc-4951-966b-68ddc55e0ed4,9,Clearance,303600,2019/2020,La Liga,Barcelona,Gerard Piqué Bernabéu,True,37,Head
68cb1e5f-cff3-4c47-b337-ff855752cec8,9,Clearance,3749403,2003/2004,Premier League,Arsenal,Robert Pirès,False,37,Head
4d5f2182-534f-422e-a88e-f08ef1d1a55b,9,Clearance,3773428,2020/2021,La Liga,Barcelona,Marc-André ter Stegen,False,40,Right Foot
2e288ec8-1d06-4890-adc6-26c0c21adad1,9,Clearance,3773474,2020/2021,La Liga,Barcelona,Óscar Mingueza García,False,40,Right Foot
5aa7235d-549b-469b-bd5d-b995c07093e7,9,Clearance,3749153,2003/2004,Premier League,Arsenal,Pascal Cygan,True,37,Head
8fbef186-b997-4b88-82a1-b240852053a6,9,Clearance,3749246,2003/2004,Premier League,Arsenal,Sulzeer Jeremiah ''Sol' Campbell,True,37,Head
983f9594-e844-4b98-a4e1-98b015901717,9,Clearance,3749434,2003/2004,Premier League,Birmingham City,Damien Johnson,False,40,Right Foot
64fb6d24-fc3a-44f8-bf49-a5804df901c4,9,Clearance,3749403,2003/2004,Premier League,Bolton Wanderers,Iván Campo Ramos,False,40,Right Foot
1eb0b481-c22c-4b0c-837f-db476cf8d499,9,Clearance,303700,2019/2020,La Liga,Barcelona,Samuel Yves Umtiti,True,37,Head
70b3a0e9-e050-4322-9404-d411fcae0254,9,Clearance,16317,2018/2019,La Liga,Barcelona,Gerard Piqué Bernabéu,True,37,Head
6a9c842c-34e8-47ed-8dde-4e2e5a52da0e,9,Clearance,3749346,2003/2004,Premier League,Arsenal,Laureano Bisan-Etame Mayer,False,37,Head
7c0d8718-c252-4d48-b384-81cc281b5e7d,9,Clearance,3773660,2020/2021,La Liga,Levante UD,Mickaël Malsa,False,38,Left Foot
119bd294-0709-4a35-bd30-e123e948fcf5,9,Clearance,3749346,2003/2004,Premier League,Arsenal,Kolo Habib Touré,False,37,Head
74a0ab61-45aa-42b6-9de4-fbfb9cb15164,9,Clearance,3773415,2020/2021,La Liga,Cádiz,Rafael Jiménez Jarque,False,37,Head
ff414db8-a2aa-431c-8a7c-2a4ab9566f10,9,Clearance,3773387,2020/2021,La Liga,Levante UD,Jorge Miramón Santagertrudis,False,37,Head
24abe8d2-d8b3-4e65-abef-bc11ac6ea6cd,9,Clearance,303377,2019/2020,La Liga,Getafe,Xabier Etxeita Gorritxategi,False,38,Left Foot
d0a1d71c-1455-49e6-b5d5-2815402add04,9,Clearance,3749276,2003/2004,Premier League,Arsenal,Gaël Clichy,True,37,Head
fc02621e-00c6-4030-8416-7df6450c5cb7,9,Clearance,3749431,2003/2004,Premier League,Newcastle United,Jonathan Woodgate,False,37,Head
0c7bbe29-9814-4127-ab2b-0c726570bdbc,9,Clearance,3749434,2003/2004,Premier League,Arsenal,Ashley Cole,False,37,Head
dd7c2bdf-050a-4a87-bf91-2a7db27ae20e,9,Clearance,16149,2018/2019,La Liga,Girona,Pedro Antonio Porro Sauceda,False,37,Head
5d37ac3d-9045-44cc-acaf-d7191e657a70,9,Clearance,3749257,2003/2004,Premier League,Arsenal,Gilberto Aparecido da Silva,False,40,Right Foot
f57274cc-4a2f-40bd-9677-229a27dbf555,9,Clearance,16149,2018/2019,La Liga,Girona,Pedro Alcalá Guirado,True,37,Head
6925ed63-c902-4441-94ef-5b36f5679e41,9,Clearance,303493,2019/2020,La Liga,Barcelona,Clément Lenglet,False,37,Head
