event_id,id,name,match_id,season,competition,team,player,offensive,foul_id,foul_name,advantage,penalty,card_id,card_name
84f6d24b-5d10-457f-88d8-00c889ebaf62,22,Foul Committed,3749453,2003/2004,Premier League,Arsenal,Patrick Vieira,False,,,False,False,,
a32f34a3-36ed-4ea7-b9ce-36128a5cf15f,22,Foul Committed,303532,2019/2020,La Liga,Leganés,Kévin Manuel Rodrigues,False,,,False,False,,
811b917a-31b7-4a45-aca5-eb96f5620e80,22,Foul Committed,303487,2019/2020,La Liga,Celta Vigo,Néstor Alejandro Araújo Razo,False,,,False,False,,
a7c58de9-5116-4b0b-b453-66383c345f87,22,Foul Committed,303700,2019/2020,La Liga,Barcelona,Jordi Alba Ramos,False,,,False,False,,
5fba610c-48b7-4b51-93be-af78af33397b,22,Foul Committed,3773547,2020/2021,La Liga,Osasuna,Facundo Sebastián Roncaglia,False,,,False,False,,
6ea28784-533e-4fd1-9c6c-63a1fc01189e,22,Foul Committed,3749196,2003/2004,Premier League,Tottenham Hotspur,Mbulelo Mabizela,False,,,False,False,,
12ea78f1-93a5-4345-8769-3b52ce1652d3,22,Foul Committed,3773457,2020/2021,La Liga,Celta Vigo,Aarón Martín Caricol,False,,,False,False,,
f3b576f6-fe9e-41e6-abff-3dfd75ba19ef,22,Foul Committed,15986,2018/2019,La Liga,Barcelona,Nélson Cabral Semedo,False,,,False,False,7,Yellow Card
07a1bd47-10bd-4174-b255-79505442d018,22,Foul Committed,15998,2018/2019,La Liga,Leganés,Mikel Vesga Arruti,False,,,True,False,,
8eff9ed3-bcee-4da0-a9d7-c3d746c6cffd,22,Foul Committed,16120,2018/2019,La Liga,Getafe,Damián Nicolás Suárez Suárez,False,,,False,False,7,Yellow Card
ab1ef505-ae09-4054-8b0a-e307299c3313,22,Foul Committed,3749068,2003/2004,Premier League,Arsenal,Thierry Henry,False,,,True,False,,
4fa9fb82-6541-45f0-aea8-ea6e908aedb3,22,Foul Committed,3749528,2003/2004,Premier League,Arsenal,Pascal Cygan,False,,,False,False,,
47654e0d-5cd3-4f38-acbd-56a8998d8412,22,Foul Committed,3773695,2020/2021,La Liga,Barcelona,Sergio Busquets i Burgos,False,,,False,False,,
f913df51-0d58-413b-87f5-5a615378b4b7,22,Foul Committed,303400,2019/2020,La Liga,Valencia,Kevin Gameiro,False,,,False,False,,
4cc769dc-7981-42e3-83fc-c05cd7098cb3,22,Foul Committed,303680,2019/2020,La Liga,Barcelona,Arturo Erasmo Vidal Pardo,False,,,False,False,,
5866213f-dd81-47f7-b53c-c91eafc0b3c7,22,Foul Committed,303652,2019/2020,La Liga,Espanyol,Marc Roca Junqué,False,,,True,False,,
e49eb2e8-6b5c-4c9b-91d6-7a017af81be9,22,Foul Committed,16248,2018/2019,La Liga,Atlético Madrid,Álvaro Borja Morata Martín,False,,,False,False,,
1221349e-95f9-483e-9c1e-cab0effe3ba2,22,Foul Committed,303400,2019/2020,La Liga,Valencia,Carlos Soler Barragán,False,,,False,False,,
83f92ad6-372b-494f-a88c-2d5e8cbe0310,22,Foul Committed,303680,2019/2020,La Liga,Barcelona,Arturo Erasmo Vidal Pardo,False,,,True,False,,
d8d6ee25-ba1d-4340-a2ee-2cc24dceb8eb,22,Foul Committed,303493,2019/2020,La Liga,Barcelona,Gerard Piqué Bernabéu,False,,,False,False,,
755e6a44-95ae-4913-87e7-ee7ce7bf76d0,22,Foul Committed,3749603,2003/2004,Premier League,Fulham,Ian Pearce,False,,,True,False,,
4df6dcd4-6a01-4bf1-a64f-831641d32614,22,Foul Committed,303731,2019/2020,La Liga,Eibar,Fabián Ariel Orellana Valenzuela,True,,,False,False,,
e28cef3d-c92e-47ac-bfd8-cb9a85bf12f2,22,Foul Committed,3749590,2003/2004,Premier League,Leicester City,Ben Thatcher,False,,,False,False,,
998b2cda-2f43-40f4-8f6e-cdfb28fa842d,22,Foul Committed,303504,2019/2020,La Liga,Barcelona,Gerard Piqué Bernabéu,False,,,False,False,,
087b7744-ef62-4b1c-9042-8b200ac8a56c,22,Foul Committed,3764661,2020/2021,La Liga,Athletic Club,Mikel Vesga Arruti,False,,,False,False,7,Yellow Card
213cbc20-39d1-4ef4-ad8f-7f6112ae8980,22,Foul Committed,3749257,2003/2004,Premier League,Leicester City,Frank Mohammed Sinclair,False,,,False,False,,
d37ab185-3908-4758-92d6-3f887556655b,22,Foul Committed,3773526,2020/2021,La Liga,Barcelona,Antoine Griezmann,False,,,False,False,,
6ce838a3-123a-4cb8-9a6a-a50f551abb0e,22,Foul Committed,16205,2018/2019,La Liga,Rayo Vallecano,Alejandro Gálvez Jimena,False,,,False,False,,
ba3a00f0-c2c3-4a16-ba3a-d8fd2d340fce,22,Foul Committed,303493,2019/2020,La Liga,Athletic Club,Óscar de Marcos Arana,False,,,False,False,,
cde9e8cb-58e6-42a0-9169-25e64073dd02,22,Foul Committed,303700,2019/2020,La Liga,Eibar,Papa Kouly Diop,False,,,False,False,7,Yellow Card
0d11074f-683d-48f6-8692-d7d50c91d7d2,22,Foul Committed,15978,2018/2019,La Liga,Real Sociedad,David Zurutuza Veillet,True,,,False,False,,
ebe7b338-b05e-4f8c-8bd2-0f77d839e495,22,Foul Committed,3773523,2020/2021,La Liga,Real Sociedad,Ignacio Monreal Eraso,False,,,False,False,,
4836a688-d129-448a-bb50-9f1219045d2a,22,Foul Committed,303377,2019/2020,La Liga,Barcelona,Arthur Henrique Ramos de Oliveira Melo,False,,,False,False,,
c93f3b66-6983-41a7-9753-0b6259ca0402,22,Foul Committed,303615,2019/2020,La Liga,Espanyol,Pol Lozano Vizuete,False,,,False,False,5,Red Card
29d4d88f-c675-409b-b167-97727f2d1110,22,Foul Committed,303610,2019/2020,La Liga,Granada,Carlos Fernández Luna,False,,,False,False,,
f7c54880-f0bb-4678-9e46-41e2ad723d76,22,Foul Committed,3749360,2003/2004,Premier League,Arsenal,Patrick Vieira,False,,,False,False,,
666483f3-f7ff-4c0e-a298-3980acc51429,22,Foul Committed,3773571,2020/2021,La Liga,Barcelona,Frenkie de Jong,False,,,False,False,7,Yellow Card
464f2bbc-b1eb-4602-856e-85dab5914ab5,22,Foul Committed,303700,2019/2020,La Liga,Eibar,Papa Kouly Diop,False,,,False,False,,
4469966a-4ba7-47d6-b4a2-587b472c930c,22,Foul Committed,15978,2018/2019,La Liga,Real Sociedad,Asier Illarramendi Andonegi,False,,,False,False,,
8f760e88-654e-450e-bde5-16f5229c4602,22,Foul Committed,3773625,2020/2021,La Liga,Sevilla,Jules Koundé,False,,,False,False,,
4efdd9eb-c82a-44dd-a3a4-d1a07eefd1c9,22,Foul Committed,3749233,2003/2004,Premier League,Manchester City,Joey Barton,False,,,False,False,,
ea3b8a0a-d4b7-4983-8e46-8249adf894bf,22,Foul Committed,303725,2019/2020,La Liga,Barcelona,Arturo Erasmo Vidal Pardo,False,,,False,False,,
a732b51e-bfe3-445e-b3c0-9dae9be94649,22,Foul Committed,303451,2019/2020,La Liga,Mallorca,Ante Budimir,False,,,False,False,,
785fe289-b250-4cab-b4dd-32910d0a3cbc,22,Foul Committed,3773526,2020/2021,La Liga,Barcelona,Óscar Mingueza García,False,,,True,False,,
0cdcaac4-14a1-40e8-8661-5a9504cb95d1,22,Foul Committed,3749448,2003/2004,Premier League,Arsenal,Laureano Bisan-Etame Mayer,False,,,False,False,,
ef3f605d-9dcf-4786-b227-17a1a7a01556,22,Foul Committed,3749233,2003/2004,Premier League,Arsenal,Laureano Bisan-Etame Mayer,False,,,False,False,,
07ac8b29-51e5-4c0c-882a-5f0babf0d910,22,Foul Committed,3749196,2003/2004,Premier League,Tottenham Hotspur,Bobby Zamora,False,,,False,False,,
5d1ba005-daf2-4fed-b843-9dc4fb30749c,22,Foul Committed,303421,2019/2020,La Liga,Deportivo Alavés,Lucas Pérez Martínez,False,,,False,False,,
7a3b82e9-d9b4-49df-9c6f-678e40b87099,22,Foul Committed,3749454,2003/2004,Premier League,Arsenal,Ashley Cole,False,,,False,False,,
07bef2fd-d5d2-4ada-bba6-b8fe05b61d28,22,Foul Committed,303696,2019/2020,La Liga,Barcelona,Nélson Cabral Semedo,False,,,False,True,,
a5d7da27-e474-4a6a-bf31-e10749ab1453,22,Foul Committed,3749465,2003/2004,Premier League,Arsenal,Thierry Henry,False,,,False,False,,
