event_id,id,name,match_id,season,competition,team,player,subbed_name,outcome_id,outcome_name
953ea168-c1f6-4dcc-b050-b77c516970a3,19,Substitution,3773631,2020/2021,La Liga,Barcelona,Miralem Pjanić,Francisco António Machado Mota de Castro Trincão,103,Tactical
853c4212-46f9-4784-93b9-bc6b0211610f,19,Substitution,3749454,2003/2004,Premier League,Manchester City,Antoine Sibierski,Danny Tiatto,103,Tactical
39b62039-c319-4b0c-b5a8-c8a90840ff22,19,Substitution,303524,2019/2020,La Liga,Barcelona,Arthur Henrique Ramos de Oliveira Melo,Arturo Erasmo Vidal Pardo,103,Tactical
47e61891-f7d1-45ea-8f75-c217375105dc,19,Substitution,3773477,2020/2021,La Liga,Barcelona,Antoine Griezmann,Martin Braithwaite Christensen,103,Tactical
d68c0871-6dfa-460e-a7e8-0e74b03cd5ef,19,Substitution,3749360,2003/2004,Premier League,Blackburn Rovers,Markus Babbel,Dino Baggio,103,Tactical
4efb245e-3ec5-46be-a2ab-a1f756e0be7c,19,Substitution,3764440,2020/2021,La Liga,Barcelona,Martin Braithwaite Christensen,Antoine Griezmann,103,Tactical
78ec4b98-6031-498a-9be5-20b34b8044c6,19,Substitution,16173,2018/2019,La Liga,Barcelona,Philippe Coutinho Correia,Ousmane Dembélé,103,Tactical
803916d6-d46c-4620-b121-76912b89163a,19,Substitution,3764440,2020/2021,La Liga,Barcelona,Gerard Piqué Bernabéu,Clément Lenglet,103,Tactical
a43f9bcd-8282-4de0-90e2-4d7bd4de1d49,19,Substitution,16109,2018/2019,La Liga,Barcelona,Ousmane Dembélé,Philippe Coutinho Correia,103,Tactical
0be4d3cc-27e8-4018-81d3-d934b7967390,19,Substitution,303610,2019/2020,La Liga,Barcelona,Arturo Erasmo Vidal Pardo,Arthur Henrique Ramos de Oliveira Melo,103,Tactical
e6acaa12-8cbf-4eb7-a64d-3390350ea5cc,19,Substitution,3749454,2003/2004,Premier League,Arsenal,Sylvain Wiltord,Dennis Bergkamp,103,Tactical
511e4338-8d2a-4ff8-80f6-b575ac7cac5f,19,Substitution,3749454,2003/2004,Premier League,Arsenal,Fredrik Ljungberg,Ray Parlour,103,Tactical
fe982385-6789-4390-bb13-33dad0d75aa0,19,Substitution,3749117,2003/2004,Premier League,Everton,Kevin Kilbane,Francis Jeffers,103,Tactical
c83a103e-2be3-491c-affb-fe910d9be086,19,Substitution,303516,2019/2020,La Liga,Barcelona,Ricard Puig Martí,Arthur Henrique Ramos de Oliveira Melo,103,Tactical
b09a965f-b5b1-4d3e-97fe-dce866af0019,19,Substitution,303421,2019/2020,La Liga,Barcelona,Sergio Busquets i Burgos,Frenkie de Jong,103,Tactical
17af1d4a-ca56-42cc-90fb-2c54e510b284,19,Substitution,3764440,2020/2021,La Liga,Barcelona,Jordi Alba Ramos,Sergino Dest,103,Tactical
02f543a2-6f91-45bb-a15c-831aee897c86,19,Substitution,15998,2018/2019,La Liga,Leganés,Óscar Rodríguez Arnaiz,Gerard Gumbau Garriga,103,Tactical
b2953fd2-f6e0-4b0f-bbff-8bbe0b643eec,19,Substitution,303421,2019/2020,La Liga,Deportivo Alavés,Manuel Alejandro García Sánchez,Ljubomir Fejsa,103,Tactical
0a9d1292-9f4d-48f0-8f25-27d486a4a8bc,19,Substitution,303493,2019/2020,La Liga,Barcelona,Arthur Henrique Ramos de Oliveira Melo,Ricard Puig Martí,103,Tactical
ce94d50b-3f72-4129-907e-3728e8b0134a,19,Substitution,303479,2019/2020,La Liga,Real Sociedad,Alexander Isak,Willian José da Silva,103,Tactical
74cb40e0-7692-4d68-9c4e-fa5f01330d6b,19,Substitution,16056,2018/2019,La Liga,Real Betis,Joaquín Sánchez Rodríguez,Sergio Canales Madrazo,103,Tactical
24b970c5-de21-41a9-9e0b-e12717af036b,19,Substitution,3749434,2003/2004,Premier League,Birmingham City,Mikael Forssell,Clinton Morrison,103,Tactical
c0483f7d-e4fc-4ef5-a8f6-268e301e7bec,19,Substitution,303479,2019/2020,La Liga,Barcelona,Martin Braithwaite Christensen,Héctor Junior Firpo Adames,103,Tactical
1cb1c548-7e7e-4fab-bcf9-15132124120b,19,Substitution,3749462,2003/2004,Premier League,Arsenal,Fredrik Ljungberg,Robert Pirès,103,Tactical
903fc8fa-53bc-4080-a8eb-7cc1194ebca9,19,Substitution,3773428,2020/2021,La Liga,Barcelona,Philippe Coutinho Correia,Ousmane Dembélé,103,Tactical
1956cf0b-fd9b-4013-a120-315b4cdbf5c0,19,Substitution,3773428,2020/2021,La Liga,Barcelona,Óscar Mingueza García,Pedro González López,103,Tactical
fe76990d-caf0-44f0-ace3-cc1441f985a9,19,Substitution,3764661,2020/2021,La Liga,Athletic Club,Yuri Berchiche Izeta,Mikel Balenziaga Oruesagasti,103,Tactical
