event_id,id,name,match_id,season,competition,team,player,overrun,nutmeg,outcome_id,outcome_name,no_touch
d1656e7f-1aa4-469c-8b67-97b5e6d45bb1,14,Dribble,15946,2018/2019,La Liga,Barcelona,Marc-André ter Stegen,False,False,8,Complete,False
2eb6139a-c141-4a98-beb4-8049aea94c09,14,Dribble,16196,2018/2019,La Liga,Real Madrid,Sergio Ramos García,False,False,9,Incomplete,False
e7257c09-ea6e-405f-9f83-f0f5888e86e1,14,Dribble,3749274,2003/2004,Premier League,Arsenal,Thierry Henry,False,False,8,Complete,False
8886ed36-84c4-4fee-ab8c-49f33ad2e002,14,Dribble,3749631,2003/2004,Premier League,Southampton,Stephen Crainey,False,False,9,Incomplete,False
072914e6-d518-470f-b5b0-1455b60d774d,14,Dribble,16231,2018/2019,La Liga,Barcelona,Philippe Coutinho Correia,False,False,9,Incomplete,False
51b804d3-ea9a-4460-b1f2-23063de68d6f,14,Dribble,3749603,2003/2004,Premier League,Fulham,Junichi Inamoto,False,False,8,Complete,False
36303c3e-24f6-4f45-afb7-7780ae33e19b,14,Dribble,3749631,2003/2004,Premier League,Arsenal,Ray Parlour,False,False,9,Incomplete,False
7775178b-048b-4c77-9eff-0481cfe1c7f0,14,Dribble,3773587,2020/2021,La Liga,Barcelona,Ousmane Dembélé,False,False,8,Complete,False
713397b0-7e7d-4de6-84c7-b9add14f5aab,14,Dribble,16010,2018/2019,La Liga,Athletic Club,Iñaki Williams Arthuer,False,False,8,Complete,False
cb9ed71a-4806-42a3-ab34-86371427cb9a,14,Dribble,3749257,2003/2004,Premier League,Arsenal,Thierry Henry,False,False,9,Incomplete,False
5673ad18-92bb-4e1a-bd40-5e7fec4e0291,14,Dribble,3764661,2020/2021,La Liga,Athletic Club,Jon Morcillo Conesa,False,False,8,Complete,False
452eaecb-38db-4d3b-86bb-f6ead47d2a6a,14,Dribble,16173,2018/2019,La Liga,Barcelona,Luis Alberto Suárez Díaz,False,False,9,Incomplete,False
7baadd89-6a91-4873-8b19-ae14179f1bcc,14,Dribble,3773497,2020/2021,La Liga,Barcelona,Frenkie de Jong,False,False,8,Complete,False
34ec0b9e-ffe0-4c50-bc8e-98bfe388e8b3,14,Dribble,16109,2018/2019,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False,8,Complete,False
6c004d68-d549-4a73-811d-904441dd4f65,14,Dribble,3773497,2020/2021,La Liga,Barcelona,Antoine Griezmann,True,False,9,Incomplete,False
d608e268-e6db-4e36-a595-ddc8da1cb085,14,Dribble,3773526,2020/2021,La Liga,Barcelona,Clément Lenglet,False,False,8,Complete,False
a1f14e85-8549-43ef-bc6d-bc0b13d9c331,14,Dribble,3773497,2020/2021,La Liga,Real Madrid,Lucas Vázquez Iglesias,False,False,9,Incomplete,False
9f5b43b6-f9ee-4cb2-a33a-92896678671e,14,Dribble,15998,2018/2019,La Liga,Barcelona,Samuel Yves Umtiti,False,False,8,Complete,False
18a87178-03a5-4e15-a3a4-4340a2076348,14,Dribble,303400,2019/2020,La Liga,Valencia,Rodrigo Moreno Machado,False,False,9,Incomplete,False
fda481b7-e4d4-4bc7-b46f-463b25f0634a,14,Dribble,3773552,2020/2021,La Liga,Barcelona,Frenkie de Jong,False,False,9,Incomplete,False
169259cd-c089-4872-8a70-8549cf97586c,14,Dribble,16173,2018/2019,La Liga,Barcelona,Philippe Coutinho Correia,False,False,8,Complete,False
bc39d960-b0ed-425a-b268-6a898375e25b,14,Dribble,16173,2018/2019,La Liga,Barcelona,Philippe Coutinho Correia,False,False,9,Incomplete,False
a29d49a0-7cfb-484e-8df0-f59c2fa7cdfd,14,Dribble,3749153,2003/2004,Premier League,Arsenal,Nwankwo Christian Kanu,False,False,8,Complete,False
b342063b-1b1a-4c06-a29e-6b65b4b5b1b6,14,Dribble,3749431,2003/2004,Premier League,Newcastle United,Jonathan Woodgate,False,False,8,Complete,False
4a034ff4-3bf3-41da-8cd7-567f5954ed75,14,Dribble,303400,2019/2020,La Liga,Valencia,Ferrán Torres García,False,False,8,Complete,False
34696b4d-6bdf-4f05-b9c1-bce3e0e06e01,14,Dribble,16023,2018/2019,La Liga,Valencia,Rodrigo Moreno Machado,False,False,9,Incomplete,False
e31d0fb6-3d9d-46fc-bcf8-71e42395c7a0,14,Dribble,3749590,2003/2004,Premier League,Arsenal,Robert Pirès,False,False,9,Incomplete,False
fa9e9155-bbd1-4125-ba80-1b51219c171d,14,Dribble,303682,2019/2020,La Liga,Levante UD,Rubén Rochina Naixes,False,False,8,Complete,False
7b5b101d-6d99-4321-911b-6601762be429,14,Dribble,16275,2018/2019,La Liga,Barcelona,Ousmane Dembélé,False,False,8,Complete,False
69f3ba5e-ee30-4c83-a541-7bdb432759f5,14,Dribble,16109,2018/2019,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False,9,Incomplete,False
5f12bbc5-239b-4e52-94e9-85c75bf313e3,14,Dribble,16289,2018/2019,La Liga,Barcelona,Jordi Alba Ramos,False,False,8,Complete,False
2bad890c-060b-4f9f-af13-1ae03a1051ee,14,Dribble,3749434,2003/2004,Premier League,Birmingham City,David Dunn,False,False,9,Incomplete,False
6d17d13a-212b-446d-9ac2-272d853b81f9,14,Dribble,3749153,2003/2004,Premier League,Arsenal,Fredrik Ljungberg,False,False,8,Complete,False
343191a3-df6e-4f8c-acdb-beb295a2c087,14,Dribble,16023,2018/2019,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False,9,Incomplete,False
ef71fb9b-9994-4022-981b-4b658e136a96,14,Dribble,303377,2019/2020,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False,8,Complete,False
f7db7c93-ffe5-47ef-bf7d-d62921126e9a,14,Dribble,3749434,2003/2004,Premier League,Birmingham City,David Dunn,False,False,8,Complete,False
8b1299b8-fa26-47bc-8b96-3e94a389f982,14,Dribble,3749526,2003/2004,Premier League,Arsenal,Fredrik Ljungberg,False,False,8,Complete,False
6d85f2e1-b6e7-4b84-9c17-275a8020766b,14,Dribble,3749153,2003/2004,Premier League,Arsenal,Thierry Henry,False,False,8,Complete,False
f7ff98f6-f467-4bc7-be3f-94a672950ab8,14,Dribble,16109,2018/2019,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False,9,Incomplete,False
5f0af323-2ce6-412a-8582-4176cb6aaaba,14,Dribble,3749642,2003/2004,Premier League,Charlton Athletic,Paolo Di Canio,False,False,8,Complete,False
0a1c51b0-52c0-45b2-b8ad-836ae4cb79f1,14,Dribble,303600,2019/2020,La Liga,Barcelona,Luis Alberto Suárez Díaz,False,False,8,Complete,False
c6000592-6b90-43a4-855a-8dbbc48985d4,14,Dribble,303682,2019/2020,La Liga,Barcelona,Sergio Busquets i Burgos,False,False,8,Complete,False
35911504-59b0-4360-82c5-47a777e621ac,14,Dribble,16095,2018/2019,La Liga,Barcelona,Luis Alberto Suárez Díaz,False,False,9,Incomplete,False
a825bb79-184a-4858-b685-d68c63e062d4,14,Dribble,303600,2019/2020,La Liga,Barcelona,Luis Alberto Suárez Díaz,False,False,8,Complete,False
44b1a8b5-a75a-4e27-8029-fb3e5b1a6c58,14,Dribble,3749526,2003/2004,Premier League,Arsenal,Thierry Henry,False,False,8,Complete,False
5a106ad7-c952-4586-b115-fb39205c958d,14,Dribble,3749453,2003/2004,Premier League,Leeds United,Gary Oliver Kelly,True,False,9,Incomplete,False
1b2b53d2-0a06-4bb7-9111-b7a68ccc27d4,14,Dribble,303682,2019/2020,La Liga,Barcelona,Nélson Cabral Semedo,False,False,8,Complete,False
07e2f417-d3e1-41a1-9e94-a99aee4c5762,14,Dribble,3773597,2020/2021,La Liga,Barcelona,Moriba Kourouma Kourouma,False,False,8,Complete,False
39ea6f6f-6c1e-4dd1-8d3e-22b8bf6249b6,14,Dribble,16073,2018/2019,La Liga,Atlético Madrid,Jorge Resurrección Merodio,False,False,8,Complete,False
baefec65-7ba0-4ac6-904d-ce387764243d,14,Dribble,16275,2018/2019,La Liga,Barcelona,Sergi Roberto Carnicer,False,False,9,Incomplete,False
0ab2e088-7ab8-4fa0-b066-4372ced53ff0,14,Dribble,303596,2019/2020,La Liga,Barcelona,Nélson Cabral Semedo,False,False,8,Complete,False
6417ba20-a25b-4973-9a3d-48a7e3e83b35,14,Dribble,303682,2019/2020,La Liga,Barcelona,Nélson Cabral Semedo,False,False,8,Complete,False
b213801c-7d4f-4cd4-bb61-9c169b7eddf5,14,Dribble,3764661,2020/2021,La Liga,Athletic Club,Óscar de Marcos Arana,False,False,9,Incomplete,False
0e4c0167-69b0-4a17-8374-b4eedbd1f6de,14,Dribble,3749603,2003/2004,Premier League,Fulham,Moritz Volz,False,False,9,Incomplete,False
b5f78da1-fd54-4dd4-8970-164dd7b71aa5,14,Dribble,3773547,2020/2021,La Liga,Osasuna,Iñigo Pérez Soto,True,True,9,Incomplete,False
d208c2e4-354d-4502-9b69-596c78048a59,14,Dribble,3749448,2003/2004,Premier League,Liverpool,John Arne Semundseth Riise,False,False,8,Complete,False
b0122506-1bd5-418a-adda-c29e4a42a30d,14,Dribble,16095,2018/2019,La Liga,Levante UD,Enis Bardhi,False,False,9,Incomplete,False
e7aeae64-aedc-49d0-a011-813004456851,14,Dribble,3749153,2003/2004,Premier League,Middlesbrough,George Boateng,False,False,8,Complete,False
84dee508-df7a-4c48-a6e6-0724f2d75ddf,14,Dribble,3749454,2003/2004,Premier League,Arsenal,Robert Pirès,False,False,8,Complete,False
eb61a585-163c-441b-b917-14ea8f200e34,14,Dribble,3749153,2003/2004,Premier League,Arsenal,Ashley Cole,False,False,8,Complete,False
cdc73636-9c1a-419c-b116-550d9e411402,14,Dribble,3749153,2003/2004,Premier League,Middlesbrough,George Boateng,False,False,9,Incomplete,False
07da717a-5a8c-4e59-81b7-6edb67c53332,14,Dribble,3749465,2003/2004,Premier League,Arsenal,Robert Pirès,False,False,8,Complete,False
95d0cf04-622e-4212-b264-27b4d0438a4f,14,Dribble,3749108,2003/2004,Premier League,Aston Villa,Lee Hendrie,False,False,8,Complete,False
981b34b0-9a75-46f5-8450-d07964bfa354,14,Dribble,3749257,2003/2004,Premier League,Arsenal,Fredrik Ljungberg,False,False,9,Incomplete,False
ec617eb5-3f81-4db2-b74f-ed36c0ffa307,14,Dribble,3773586,2020/2021,La Liga,Barcelona,Ousmane Dembélé,False,False,9,Incomplete,False
