event_id,id,name,match_id,season,competition,team,player,offensive,failure
29713dfe-c306-446c-9057-1725ca20a66d,2,Ball Recovery,16231,2018/2019,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False
49db67b3-919b-4bec-b1ab-90dcc3aa9c1c,2,Ball Recovery,303377,2019/2020,La Liga,Barcelona,Antoine Griezmann,False,False
99c5c4de-a31d-42c1-9edd-ca5aaf43e25d,2,Ball Recovery,303610,2019/2020,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False
c301493b-d47e-40cf-bddd-aec4fb44d894,2,Ball Recovery,303517,2019/2020,La Liga,Deportivo Alavés,Fernando Pacheco Flores,False,False
8efa70b5-14a9-487a-a875-132dbc666e46,2,Ball Recovery,16131,2018/2019,La Liga,Barcelona,Arturo Erasmo Vidal Pardo,False,False
9b47b4a5-eed6-40ab-b52b-98e33aff07ac,2,Ball Recovery,3749528,2003/2004,Premier League,Newcastle United,Shay Given,False,False
0f61933c-6912-4175-aba1-61aa0ac18289,2,Ball Recovery,303725,2019/2020,La Liga,Villarreal,Santiago Cazorla González,False,False
92e4bbf4-abaf-4957-9bf1-03c046a75c7b,2,Ball Recovery,303421,2019/2020,La Liga,Deportivo Alavés,Lisandro Magallán,False,False
f2a579f3-41be-4713-8a9f-c734362a5126,2,Ball Recovery,303707,2019/2020,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,True
9e00f130-5386-45ee-8b35-164d2f4ba032,2,Ball Recovery,3749274,2003/2004,Premier League,Arsenal,Fredrik Ljungberg,False,False
b68067e5-9d47-446e-97d0-060efb5fb423,2,Ball Recovery,3773597,2020/2021,La Liga,Real Sociedad,Cristian Portugués Manzanera,False,False
4726f4d3-547d-4f3e-910b-70dd40421a84,2,Ball Recovery,303731,2019/2020,La Liga,Barcelona,Clément Lenglet,False,False
5da3f998-1c09-4de5-af0f-0057a0b57850,2,Ball Recovery,3749257,2003/2004,Premier League,Arsenal,Kolo Habib Touré,False,False
1e7615e8-036e-465b-b879-2a72a5ff1fa0,2,Ball Recovery,303516,2019/2020,La Liga,Celta Vigo,Denis Suárez Fernández,False,False
35bea464-7abe-4ece-8dc9-0d5633c23b5c,2,Ball Recovery,303517,2019/2020,La Liga,Barcelona,Jordi Alba Ramos,False,False
b2dfbf5e-2392-4d21-b2b9-a85ab8f85bd7,2,Ball Recovery,3749528,2003/2004,Premier League,Newcastle United,Titus Malachi Bramble,False,False
7754108c-77da-431d-8d54-291a6852abb6,2,Ball Recovery,16131,2018/2019,La Liga,Eibar,Marc Cucurella Saseta,False,False
548b13aa-5f99-4ef9-99bd-e4db8c2c4aa2,2,Ball Recovery,3749603,2003/2004,Premier League,Arsenal,José Antonio Reyes Calderón,False,False
dd1732a5-6769-4f1d-a575-1fd7bbbba77d,2,Ball Recovery,15986,2018/2019,La Liga,Girona,Cristhian Ricardo Stuani Curbelo,False,False
a087faef-3cd7-4dcb-8d1c-98c1e57b4e6c,2,Ball Recovery,303731,2019/2020,La Liga,Eibar,Gonzalo Escalante,False,False
76b5e341-a0e7-4899-87e2-ee395105ff11,2,Ball Recovery,303487,2019/2020,La Liga,Barcelona,Sergi Roberto Carnicer,False,False
4330fcee-3747-4781-8201-be5c52ce43ca,2,Ball Recovery,303700,2019/2020,La Liga,Eibar,Pedro León Sánchez Gil,False,False
cbd99470-e9fb-4487-b7a8-3e7ed4d9a185,2,Ball Recovery,3773387,2020/2021,La Liga,Barcelona,Marc-André ter Stegen,False,False
afde3623-4fa3-46a6-ab21-14e1a987c6d9,2,Ball Recovery,303377,2019/2020,La Liga,Barcelona,Arthur Henrique Ramos de Oliveira Melo,False,False
30406351-49a9-47b8-83cb-380dc20d17e8,2,Ball Recovery,3749346,2003/2004,Premier League,Arsenal,Robert Pirès,False,False
4d410b4e-f018-4c5a-bb98-772ff64b049d,2,Ball Recovery,303731,2019/2020,La Liga,Barcelona,Héctor Junior Firpo Adames,False,False
22f4d546-39d0-46c0-a60b-85b1a9a0ae7e,2,Ball Recovery,16010,2018/2019,La Liga,Barcelona,Philippe Coutinho Correia,False,False
72dd0592-8126-4a74-8b54-0e6956d2f360,2,Ball Recovery,303473,2019/2020,La Liga,Barcelona,Marc-André ter Stegen,False,False
caf5665a-5a6e-4560-a984-c4827c4cf381,2,Ball Recovery,3749257,2003/2004,Premier League,Leicester City,Marcus Bent,False,False
2dabfc9d-27da-4d41-85ee-e12cd42db226,2,Ball Recovery,16231,2018/2019,La Liga,Espanyol,Roberto José Rosales Altuve,False,False
9135bb5b-f411-40e8-96a0-cb6b8c6e6d11,2,Ball Recovery,303493,2019/2020,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False
bebb797e-eb41-41e4-bf9a-174ffc676d5b,2,Ball Recovery,3749493,2003/2004,Premier League,Everton,Thomas Gravesen,False,False
2a176568-6936-453b-82da-869d24fc9690,2,Ball Recovery,16023,2018/2019,La Liga,Barcelona,Philippe Coutinho Correia,False,False
cffbe119-0ec1-40e6-beca-3aa7f423b6da,2,Ball Recovery,303680,2019/2020,La Liga,Barcelona,Marc-André ter Stegen,False,False
3ee6c14e-02c9-4239-8614-0c460044a9f4,2,Ball Recovery,3749296,2003/2004,Premier League,Arsenal,Ashley Cole,False,False
95f7e8bb-1558-48a6-890d-a39e7b0b82f9,2,Ball Recovery,303682,2019/2020,La Liga,Barcelona,Jordi Alba Ramos,False,False
ff82af8a-0c9b-4f59-bf7b-dbe60aae43a8,2,Ball Recovery,303504,2019/2020,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False
54089815-2433-445b-a54a-d25dbbd0289c,2,Ball Recovery,3773457,2020/2021,La Liga,Celta Vigo,Francisco José Beltrán Peinado,False,False
72ef5700-6dfe-4496-8fc2-6718cabddde0,2,Ball Recovery,16248,2018/2019,La Liga,Barcelona,Luis Alberto Suárez Díaz,False,False
c2ae9724-032f-4058-baf0-158cd2e18644,2,Ball Recovery,3749403,2003/2004,Premier League,Bolton Wanderers,Émerson Augusto Thome,False,False
bbd219a0-58f2-46a9-a020-8c7968debce2,2,Ball Recovery,303548,2019/2020,La Liga,Mallorca,Francisco Gámez López,False,False
fc1962c8-1406-42ff-abd5-20a13f466bd5,2,Ball Recovery,3773665,2020/2021,La Liga,Osasuna,Sergio Herrera Pirón,False,False
94e4201b-52b6-4ec5-ba92-aeeb340979e4,2,Ball Recovery,16231,2018/2019,La Liga,Barcelona,Jordi Alba Ramos,False,False
d2448767-11d3-4fda-abc8-e2e86b41aa01,2,Ball Recovery,3773523,2020/2021,La Liga,Real Sociedad,Ander Barrenetxea Muguruza,False,False
62a20a6a-e540-448e-87c9-3463d4d08090,2,Ball Recovery,16056,2018/2019,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False
38faa411-6dc2-4fa2-8f8b-fe853d167bf4,2,Ball Recovery,3773466,2020/2021,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,False
78c6266a-3439-4c60-aa55-597347a908da,2,Ball Recovery,3749068,2003/2004,Premier League,Arsenal,Thierry Henry,False,False
a62db6de-cabb-4c0c-b69e-b10e93dc5917,2,Ball Recovery,16182,2018/2019,La Liga,Real Valladolid,Antonio Jesús Regal Angulo,False,False
3ab52de1-b0fe-45e8-b959-c461e12afd5d,2,Ball Recovery,3773466,2020/2021,La Liga,Barcelona,Lionel Andrés Messi Cuccittini,False,True
900d4a5c-64a2-4854-a9de-b521c48dd650,2,Ball Recovery,3749276,2003/2004,Premier League,Arsenal,Dennis Bergkamp,False,False
1c4a4064-7291-4e73-bd18-fa379fb73613,2,Ball Recovery,3749493,2003/2004,Premier League,Arsenal,Kolo Habib Touré,False,False
6a1fa4dc-2deb-4b8b-b20c-912120cd8364,2,Ball Recovery,16157,2018/2019,La Liga,Valencia,Denis Cheryshev,False,False
9c07ab0d-5b71-440a-a43b-893dbe90b8ba,2,Ball Recovery,16240,2018/2019,La Liga,Villarreal,Sergio Asenjo Andrés,False,False
255da38e-9b18-4117-9ff3-58ad26658f07,2,Ball Recovery,3749631,2003/2004,Premier League,Arsenal,Kolo Habib Touré,False,False
364d46c5-db59-4ee6-9200-f366281130e5,2,Ball Recovery,16029,2018/2019,La Liga,Barcelona,Jordi Alba Ramos,False,False
19eb299a-afec-41d5-a639-ffedede05a1d,2,Ball Recovery,3749522,2003/2004,Premier League,Arsenal,Ray Parlour,False,False
c65aca96-1639-448e-9764-4f7b4c208b0b,2,Ball Recovery,3773523,2020/2021,La Liga,Barcelona,Martin Braithwaite Christensen,False,False
7c5daf33-4755-4191-a830-d607e8f98674,2,Ball Recovery,16248,2018/2019,La Liga,Barcelona,Sergio Busquets i Burgos,False,False
488c39fb-ca60-459d-b6e5-3dc77cdf481a,2,Ball Recovery,3773474,2020/2021,La Liga,Barcelona,Frenkie de Jong,False,False
594b80e7-d538-4d0e-b5aa-44fc955b3329,2,Ball Recovery,3773457,2020/2021,La Liga,Celta Vigo,Manuel Agudo Durán,False,False
0f352368-06c8-4216-8671-80a52d4e3a26,2,Ball Recovery,16157,2018/2019,La Liga,Valencia,Daniel Parejo Muñoz,False,False
